"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-01-28 00:00:00",1,267.63998,9.999e+20,9.999e+20,9.999e+20,97.6,-1.43,1.16,0.0025499999,95482.96,9.999e+20
"2020-01-28 06:00:00",1,264.15,249,0,3e-06,98.700005,-1.14,1.65,0.00192,95529.586,81
"2020-01-28 12:00:00",1,263.9,259,0,8e-06,98.5,-1.4599999,1.39,0.0018699999,95565.95,99
"2020-01-28 18:00:00",1,265.83,252,150,1e-05,96.200005,-2.45,-0.04,0.0021499998,95685.68,96
"2020-01-29 00:00:00",1,262.72998,254,165,1.2e-05,98.1,-1.79,-0.07,0.00168,95777.9,92
"2020-01-29 06:00:00",1,260.29,215,0,1e-06,99.700005,-1.1,-1.0699999,0.00137,95898.336,72
"2020-01-29 12:00:00",1,262.37,250,0,4e-06,98.8,-1.15,-0.96,0.00163,95960.664,99
"2020-01-29 18:00:00",1,266.41,247,150,2e-06,97.9,-0.17,-0.87,0.00229,96045.7,98
"2020-01-30 00:00:00",1,259.62,253,164,8e-06,100,-0.06,-0.37,0.0012899999,96026.7,93
"2020-01-30 06:00:00",1,261.34,250,0,7e-06,98.1,0.66999996,0.78999996,0.00148,96048.52,98
"2020-01-30 12:00:00",1,259.02,241,0,3e-06,97.8,0.47,1.31,0.00119,96040.375,97
"2020-01-30 18:00:00",1,265.61,196,210,0,97.4,0.98999995,0.64,0.00214,96120.51,20
"2020-01-31 00:00:00",1,264.52,238,203,7e-06,97.5,1.73,0.41,0.00195,96033.74,69
"2020-01-31 06:00:00",1,260.63,226,0,2e-06,98.5,1.88,1.02,0.00139,96036.22,79
"2020-01-31 12:00:00",1,257.8,222,0,1e-06,98.8,1.14,0.78,0.00107,95937.57,89
"2020-01-31 18:00:00",1,266.28,227,160,1.5e-05,98,1.63,1.38,0.00227,95891.47,85
"2020-02-01 00:00:00",1,266.41,263,175,1.4e-05,98.1,1.74,0.83,0.00231,95595.9,83
"2020-02-01 06:00:00",1,265.94998,241,0,5e-06,98.3,2.22,1.9799999,0.0022399998,95218.09,61
"2020-02-01 12:00:00",1,266.9,270,0,1.2e-05,97.700005,2.56,4.16,0.00242,94671.35,93
"2020-02-01 18:00:00",1,267.62,269,150,1.7e-05,97.3,-1.35,4.65,0.00256,94483.336,92
"2020-02-02 00:00:00",1,265.9,257,178,9e-06,98.4,-0.38,2.31,0.00225,94423.055,89
"2020-02-02 06:00:00",1,267.19998,258,0,6e-06,97.9,3.8999999,2.2,0.00251,93721.49,88
"2020-02-02 12:00:00",1,273.63,302,0,2.4e-05,99.9,-0.45999998,6.3199997,0.00422,93263.7,97
"2020-02-02 18:00:00",1,273.03,297,130,2e-05,96.700005,-4.8399997,7.06,0.0038899998,93790.27,87
"2020-02-03 00:00:00",1,267.82,223,232,0,98.200005,-1.7099999,2.07,0.00262,94467.14,21
"2020-02-03 06:00:00",1,267.88,242,0,0,98.1,2.9299998,-1.2099999,0.00263,94505.49,55
"2020-02-03 12:00:00",1,270.52,246,0,0,96.8,7.77,-2.1499999,0.00323,93831.24,72
"2020-02-03 18:00:00",1,273.56,288,120,6e-06,99.9,6.3399997,2.1,0.00421,93134.21,95
"2020-02-04 00:00:00",1,273.41998,314,74,2.9e-05,99.5,2.48,4.04,0.00416,93043.93,97
