"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-03-07 06:00:00",1,273.96,9.999e+20,9.999e+20,9.999e+20,82.700005,4.9,1.16,0.00351,95267.805,9.999e+20
"2020-03-07 12:00:00",1,272.80002,243,0,0,79.1,2.84,1.53,0.00309,95019.12,1
"2020-03-07 18:00:00",1,275.4,244,304,0,99.9,2.6499999,-0.47,0.00471,94905.305,14
"2020-03-08 00:00:00",1,273.65,257,468,0,97.700005,2.36,-1.1999999,0.00407,94669.48,34
"2020-03-08 06:00:00",1,268.30002,253,2,0,96.1,0.02,-1.1899999,0.00268,94500.14,38
"2020-03-08 12:00:00",1,271.5,241,0,0,95.8,-0.95,-3.27,0.0034299998,94329.99,37
"2020-03-08 18:00:00",1,273.80002,281,213,4e-06,99.9,-3.3799999,-1.31,0.00423,94538.875,84
"2020-03-09 00:00:00",1,271.9,310,277,1.6e-05,92.8,-6.74,1.27,0.0033999998,95074.27,95
"2020-03-09 06:00:00",1,265.7,278,1,1.2e-05,93.5,-6.22,2.08,0.0020599999,95551.4,99
"2020-03-09 12:00:00",1,262.5,224,0,0,94.700005,-2.61,1,0.0015799999,95885.055,64
"2020-03-09 18:00:00",1,264.9,192,322,0,86.5,-1.8299999,-1.35,0.0017799999,95970.92,10
"2020-03-10 00:00:00",1,265.6,215,485,0,91.700005,-1.63,-1.12,0.0019999999,95916.54,35
"2020-03-10 06:00:00",1,262.93,206,2,0,93.5,1.43,-2.3999999,0.00162,96013.48,7
"2020-03-10 12:00:00",1,262.9,235,0,0,91.3,0.71,-1.66,0.0015799999,96078.19,52
"2020-03-10 18:00:00",1,266.6,246,252,0,82.8,-0.95,-0.69,0.0019699999,96187.5,84
"2020-03-11 00:00:00",1,264.7,219,482,0,93.1,-0.19,0.89,0.00188,96102.74,39
"2020-03-11 06:00:00",1,265.7,199,2,0,87.3,3.25,1.11,0.00192,95951.01,0
"2020-03-11 12:00:00",1,268.2,210,0,0,86.1,6.21,1.25,0.00235,95438.96,22
"2020-03-11 18:00:00",1,274.9,259,260,3e-06,91.9,4.31,6,0.00417,95002.27,76
"2020-03-12 00:00:00",1,275.20755,241,490,0,74.200005,-2.56,5.3599997,0.0034699999,95054.77,36
"2020-03-12 06:00:00",1,271.6,223,3,0,71.3,-1.8299999,6.54,0.00254,95382.79,0
"2020-03-12 12:00:00",1,269.5,207,0,0,76.9,-1.75,6.19,0.00232,95537.58,0
"2020-03-12 18:00:00",1,273.1,211,331,0,72.5,-2.9099998,5.0899997,0.00286,95733.68,16
"2020-03-13 00:00:00",1,270.6,225,506,0,75.4,0.61,1.13,0.00247,95690.586,32
"2020-03-13 06:00:00",1,270.7,234,3,0,70.9,2.36,-2.1299999,0.00234,95675.85,64
"2020-03-13 12:00:00",1,269.9,266,0,6e-06,81,3.3,-5.33,0.0025199999,95511.27,90
"2020-03-13 18:00:00",1,272.80002,274,242,4e-06,79.200005,7.94,-5.79,0.00309,95140.75,94
"2020-03-14 00:00:00",1,274.22998,314,261,2e-05,94.700005,3.86,-2.77,0.0041199997,94654.94,96
"2020-03-14 06:00:00",1,275,315,1,2.1e-05,96.4,2.02,1.0699999,0.0044199997,94624.62,88
"2020-03-14 12:00:00",1,270,303,0,1.5e-05,89.9,-10.71,-0.38,0.00284,95101.79,90
"2020-03-14 18:00:00",1,264.80002,270,228,7e-06,82.6,-11.79,1.1999999,0.00169,95735.56,100
"2020-03-15 00:00:00",1,262.1,213,473,1e-06,71.8,-9.01,3.32,0.00115,96369.24,61
"2020-03-15 06:00:00",1,258.4,172,4,0,76,-7.0499997,3.6799998,0.00086,96894.414,0
"2020-03-15 12:00:00",1,259.2,160,0,0,72.8,-2.8999999,3.8999999,0.00087999995,97323.805,1
"2020-03-15 18:00:00",1,265.6,170,364,0,57.2,-0.65999997,5.95,0.00124,97463.68,0
"2020-03-16 00:00:00",1,268.5,191,547,0,55.2,2,3.62,0.0015199999,97308.96,0
"2020-03-16 06:00:00",1,267.80002,198,4,0,57.3,2.85,4.45,0.0014899999,97112.305,0
