"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-02-07 00:00:00",1,296.63,9.999e+20,9.999e+20,9.999e+20,77.1,5.27,1.48,0.01402,99776.65,9.999e+20
"2020-02-07 06:00:00",1,290.47998,396,0,0.000584,85.8,2.29,6.27,0.01062,99990.4,81
"2020-02-07 12:00:00",1,284.7,308,0,0,68,0.13,6.77,0.00573,100673.74,26
"2020-02-07 18:00:00",1,287.27,266,468,0,35.3,-0.01,7.0099998,0.00351,101127.33,0
"2020-02-08 00:00:00",1,282.88998,263,393,0,50.3,-0.64,2.32,0.00373,101555.734,0
"2020-02-08 06:00:00",1,279.43,255,0,0,64.200005,-0.72999996,1.18,0.0037399998,101969.17,0
"2020-02-08 12:00:00",1,278.1,252,0,0,67.6,-1.89,-0.68,0.00358,102156.516,0
"2020-02-08 18:00:00",1,289.74,264,460,0,32.4,0.76,-1.53,0.0037399998,102245.74,0
"2020-02-09 00:00:00",1,285.06,286,385,0,50.3,0.98999995,-1.89,0.00428,102251.84,0
"2020-02-09 06:00:00",1,282.65,281,0,0,75.1,1.62,-0.78999996,0.00544,102348.68,0
"2020-02-09 12:00:00",1,282.12,282,0,0,76.3,-1.23,-1.64,0.00533,102410.305,0
"2020-02-09 18:00:00",1,294.08,295,458,0,42.4,0.32999998,-3.99,0.00642,102436.97,0
"2020-02-10 00:00:00",1,288.47998,316,380,0,71.9,-0.58,-3.02,0.00764,102319.94,8
"2020-02-10 06:00:00",1,286.6,308,0,0,93.3,0.91999996,-2.29,0.008789999,102213.02,29
"2020-02-10 12:00:00",1,287.19998,317,0,0,97.200005,1.3199999,-1.9699999,0.00954,102086.336,33
"2020-02-10 18:00:00",1,298.06,358,350,0,63.4,4.17,-0.52,0.01231,101910.375,73
"2020-02-11 00:00:00",1,293.03,386,251,7.1e-05,90.6,1.77,-0.08,0.01294,101663.56,57
"2020-02-11 06:00:00",1,292.41,375,0,6.3e-05,97.6,2.6799998,0.03,0.013429999,101556.99,68
"2020-02-11 12:00:00",1,291.87,370,0,1e-06,98.3,2.3999999,1.4499999,0.01311,101413.93,69
"2020-02-11 18:00:00",1,298.29,391,315,6e-05,70.8,3.5,4.48,0.01401,101291.44,60
"2020-02-12 00:00:00",1,294.75,383,345,7.4e-05,83.8,1.78,3.46,0.01339,101167.73,35
"2020-02-12 06:00:00",1,289.25,374,0,9.3e-05,87.3,-4.5,1.11,0.00986,101454.586,71
"2020-02-12 12:00:00",1,283.50998,320,0,0,69.3,-3.59,-0.28,0.0053499998,101698.26,58
"2020-02-12 18:00:00",1,290.07,322,364,0,42.100002,-2.31,-2.27,0.00499,101686.086,60
"2020-02-13 00:00:00",1,287.25,329,322,0,74,-1.06,-2.08,0.00732,101591.18,75
"2020-02-13 06:00:00",1,285.15,319,0,0,90.6,-1.1999999,-1.51,0.00782,101429.086,69
"2020-02-13 12:00:00",1,284.94,328,0,0,94.200005,-1.2099999,-1.51,0.00804,101233.28,56
"2020-02-13 18:00:00",1,297.6,353,377,4e-06,66,4.61,2.27,0.01261,100863.08,74
"2020-02-14 00:00:00",1,293.52,384,252,7e-06,85.5,1.39,2.11,0.01267,100786.836,77
"2020-02-14 06:00:00",1,291.22998,376,0,2.5e-05,97.1,0.53999996,-0.24,0.012519999,100800.95,96
"2020-02-14 12:00:00",1,291.21,397,0,0.000121,97.4,0.14,-0.78,0.01253,100848.48,100
"2020-02-14 18:00:00",1,290.12,392,59,0.000897,94.9,-2.51,-2.32,0.01143,100946.04,99
"2020-02-15 00:00:00",1,284.77,379,40,0.000828,93.3,-5.06,-4.06,0.00789,101212.49,99
"2020-02-15 06:00:00",1,284.29,364,0,7.9e-05,93.8,-5.31,-2.9099998,0.0076699997,101408.74,100
"2020-02-15 12:00:00",1,285.22,362,0,8.6e-05,94.700005,-4.7,-2.33,0.00823,101505.62,97
"2020-02-15 18:00:00",1,286.59,368,156,4.3e-05,86.8,-5.65,-2.46,0.008239999,101687.64,94
"2020-02-16 00:00:00",1,283.74,362,135,8.4e-05,93.200005,-5.08,-2.34,0.00732,101816.7,91
"2020-02-16 06:00:00",1,284.94,357,0,1e-04,95.700005,-4.61,-1.1899999,0.00813,101791.37,100
"2020-02-16 12:00:00",1,286.13998,364,0,0.000169,96.4,-4.27,-1.9499999,0.00887,101773.23,100
"2020-02-16 18:00:00",1,290.38,377,188,3.6e-05,86.4,-4.21,-2.57,0.010439999,101841.24,94
"2020-02-17 00:00:00",1,288.72,382,168,9e-06,89,-3.35,-1.8299999,0.00966,101801.56,83
"2020-02-17 06:00:00",1,287.91998,367,0,5e-06,92.700005,-2.59,-2.1699998,0.00956,101777.99,67
"2020-02-17 12:00:00",1,288.28,378,0,1.1e-05,95.5,-1.63,-1.4599999,0.01009,101708.39,85
"2020-02-17 18:00:00",1,297.16998,380,368,1e-06,67.700005,0.48999998,-2.4099998,0.012499999,101589.29,62
"2020-02-18 00:00:00",1,294,387,351,1e-06,87.5,0.64,-2.29,0.013309999,101405.95,41
"2020-02-18 06:00:00",1,292.84,380,0,1e-06,96.9,2.23,-1.5999999,0.01371,101427.64,52
"2020-02-18 12:00:00",1,292.4,372,0,0,97.9,2.75,-0.55,0.01349,101409.15,76
"2020-02-18 18:00:00",1,300.1,380,426,1.5e-05,63.9,4.04,0.16,0.01406,101418.79,63
"2020-02-19 00:00:00",1,295.37,401,325,8.6e-05,86.1,1.5699999,-0.28,0.01426,101426.766,61
"2020-02-19 06:00:00",1,293.6,389,0,3.3e-05,95.3,2.05,-1.6899999,0.01413,101442.414,61
"2020-02-19 12:00:00",1,293.38998,397,0,6e-06,96.700005,2.7,-1.11,0.01416,101452.45,70
"2020-02-19 18:00:00",1,300.53,375,464,9e-06,57.5,4.41,-0.099999994,0.01297,101416.68,16
"2020-02-20 00:00:00",1,296.46,389,376,1.1e-05,75,2,-0.32999998,0.01328,101346.62,24
"2020-02-20 06:00:00",1,293.4,384,0,1e-06,91.6,1.31,-0.11,0.01346,101480.555,62
"2020-02-20 12:00:00",1,293.4,393,0,2e-06,93.4,1.86,-0.47,0.01368,101511.18,87
"2020-02-20 18:00:00",1,300.6,384,433,2.2e-05,58,4.27,1.03,0.0131399995,101427.85,78
"2020-02-21 00:00:00",1,296.13998,396,318,1.1e-05,74.8,1.55,1.75,0.01299,101371.01,80
"2020-02-21 06:00:00",1,292.07,357,0,0,95.9,0.44,1.79,0.012929999,101393.65,30
"2020-02-21 12:00:00",1,291.85,361,0,3e-06,95.6,-0.81,1.27,0.0127,101498.79,23
"2020-02-21 18:00:00",1,297.44,390,350,6e-06,67.3,-1.4499999,-1.88,0.01258,101641.96,53
"2020-02-22 00:00:00",1,290.82,389,206,9e-06,84.4,-2.74,-3.8,0.010489999,101768.516,59
"2020-02-22 06:00:00",1,289.99,385,0,1.4e-05,88.700005,-2.1299999,-2.72,0.01046,101851.75,84
"2020-02-22 12:00:00",1,289.41998,384,0,2.2e-05,93.3,-2.77,-2.44,0.01059,101885.73,83
"2020-02-22 18:00:00",1,293.1,393,181,1.2e-05,81.1,-2.54,-3.11,0.0116,101970.46,91
"2020-02-23 00:00:00",1,291.53,397,167,5e-06,88.200005,-2.33,-2.81,0.01145,101907.086,85
"2020-02-07 00:00:00",2,296.96,9.999e+20,9.999e+20,9.999e+20,75.6,5.85,1.49,0.014029999,99707.555,9.999e+20
"2020-02-07 06:00:00",2,290.28,398,0,0.000542,85.5,2.24,6.24,0.01045,99984.18,83
"2020-02-07 12:00:00",2,285,311,0,0,67.8,0.29999998,6.52,0.00582,100634.336,46
"2020-02-07 18:00:00",2,287.25998,267,467,0,36.100002,-0.12,7.19,0.0035899999,101109.68,1
"2020-02-08 00:00:00",2,282.99,264,392,0,49.7,-0.66999996,2.33,0.0037099998,101540.44,0
"2020-02-08 06:00:00",2,279.41,254,0,0,64.8,-0.74,1.1999999,0.0037699998,101978.56,0
"2020-02-08 12:00:00",2,278.16,252,0,0,67.4,-1.89,-0.88,0.0035899999,102185.24,0
"2020-02-08 18:00:00",2,289.72,264,463,0,32,0.56,-1.8299999,0.0036799998,102274.71,0
"2020-02-09 00:00:00",2,285.07,286,385,0,52.2,0.82,-2.33,0.0044299997,102289.79,0
"2020-02-09 06:00:00",2,282.58,278,0,0,78.4,1.5799999,-1.31,0.0056499997,102353.83,0
"2020-02-09 12:00:00",2,282.32,280,0,0,80,-0.82,-1.8299999,0.00566,102444.68,0
"2020-02-09 18:00:00",2,294.72,299,460,0,43,0.39,-4.2799997,0.00678,102453.75,0
"2020-02-10 00:00:00",2,289.08,321,378,0,71.4,-0.29999998,-3.09,0.0078799995,102323.516,13
"2020-02-10 06:00:00",2,286.94998,312,0,0,94.1,0.78999996,-2.31,0.00907,102276.56,38
"2020-02-10 12:00:00",2,287.29,316,0,0,97.200005,1.01,-2.18,0.00959,102105.49,24
"2020-02-10 18:00:00",2,297.46,358,324,0,62.4,3.58,-1.05,0.01167,101983.195,78
"2020-02-11 00:00:00",2,292.88,399,164,8.6e-05,88.3,-0.42999998,-0.55,0.0124699995,101814.36,95
"2020-02-11 06:00:00",2,291.27,371,0,9.5e-05,97.8,2.36,-1,0.01253,101593.43,78
"2020-02-11 12:00:00",2,291.79,362,0,4e-06,98.5,2.97,0.69,0.013069999,101440.21,39
"2020-02-11 18:00:00",2,298.35,393,332,5.8999998e-05,70.4,3.99,3.9499998,0.013959999,101291.836,62
"2020-02-12 00:00:00",2,294.56,379,350,4.4e-05,82.3,2.27,3.5,0.01301,101091.77,45
"2020-02-12 06:00:00",2,288.12,372,0,8.5e-05,85.4,-5.7599998,1.99,0.00899,101382.48,55
"2020-02-12 12:00:00",2,283.08,353,0,1.5e-05,64.3,-3.59,-0.01,0.00483,101562.87,93
