"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-01-17 06:00:00",1,262.56,9.999e+20,9.999e+20,9.999e+20,91.4,-4.2599998,3.85,0.0015,98425.99,9.999e+20
"2020-01-17 12:00:00",1,259.44,176,0,1e-06,89.6,-4.75,3.7099998,0.0011,99199.664,33
"2020-01-17 18:00:00",1,262.36,162,310,0,81.5,-3.9399998,3.78,0.0013,99566.81,1
"2020-01-18 00:00:00",1,260.81,168,150,0,86.6,-2.3,2.3,0.0011999999,99775.375,0
"2020-01-18 06:00:00",1,260.09,167,0,0,87,-2.48,2.3999999,0.0011199999,99713.06,28
"2020-01-18 12:00:00",1,260.69998,186,0,0,87.1,-0.59999996,1.2099999,0.00119,99522.5,73
"2020-01-18 18:00:00",1,267,223,200,0,71,1.99,-0.62,0.0016999999,98956.68,94
"2020-01-19 00:00:00",1,266.13998,268,69,9.9e-05,92.5,2.6399999,-2.3999999,0.00207,98078.484,96
"2020-01-19 06:00:00",1,270.4,288,0,0.000369,98.8,0.84999996,-0.63,0.0031599998,96855.016,100
"2020-01-19 12:00:00",1,273.18,273,0,3e-06,98.200005,1.18,2.9099998,0.0038899998,96380.43,66
"2020-01-19 18:00:00",1,273.69998,248,270,1e-06,96.4,-0.07,5.17,0.00396,96309.52,47
"2020-01-20 00:00:00",1,269.27,262,101,8e-06,93.6,-2,5.83,0.00275,96619.99,79
"2020-01-20 06:00:00",1,265.49,204,0,0,94,-2.34,3.6699998,0.00202,97004.836,9
"2020-01-20 12:00:00",1,264.09,197,0,0,94.8,-2.07,2.49,0.0018,97435.664,7
"2020-01-20 18:00:00",1,266.63998,209,281,3e-06,89.4,-2.52,2.71,0.0021,97616.46,52
"2020-01-21 00:00:00",1,264.34,213,127,2e-06,96.200005,-1.05,1.77,0.00186,97772.305,42
"2020-01-21 06:00:00",1,263,194,0,0,94.8,-0.65,2.3,0.00163,97737.16,26
"2020-01-21 12:00:00",1,260.82,178,0,0,92.9,-1.9599999,2.53,0.00131,97867.02,11
"2020-01-21 18:00:00",1,259.68,169,310,4e-06,84.3,-3.87,3.83,0.0010599999,98253.87,56
"2020-01-22 00:00:00",1,256.37,159,151,2e-06,89.200005,-2.97,2.87,0.00081,98748.58,40
"2020-01-22 06:00:00",1,254.20999,150,0,0,90.3,-2.3,2.21,0.00065999996,98962.68,10
"2020-01-22 12:00:00",1,253.73999,146,0,0,91.4,-1.53,1.91,0.00062999997,99306.68,9
"2020-01-22 18:00:00",1,261.38,158,324,0,78.5,-0.95,1.7099999,0.00115,99318.15,2
"2020-01-23 00:00:00",1,260.28,186,154,0,93.3,0.41,1.0799999,0.0012299999,99483.56,0
"2020-01-23 06:00:00",1,261.19,186,0,0,93.1,0.48999998,1.3199999,0.00134,99467.46,23
"2020-01-23 12:00:00",1,261.81,192,0,0,95.700005,0.24,1.62,0.00145,99518.16,44
"2020-01-23 18:00:00",1,270.97998,197,311,0,84,0.04,1.73,0.0027299998,99512.195,46
"2020-01-24 00:00:00",1,266.13998,205,154,0,96.8,-0.48,1.4,0.00214,99667.2,24
"2020-01-24 06:00:00",1,264.62,201,0,0,94.200005,-0.62,0.61,0.00183,99667.3,35
"2020-01-24 12:00:00",1,263.91998,204,0,0,92.4,0.45,-0.53,0.00169,99668.96,58
"2020-01-24 18:00:00",1,273.3,215,310,0,77.6,1.09,0.06,0.0030099999,99508.52,62
"2020-01-25 00:00:00",1,268.25,219,154,0,88.1,1.4599999,-0.7,0.00232,99326.766,19
"2020-01-25 06:00:00",1,267.5,217,0,0,83.9,1.66,-0.17,0.00208,99082.2,19
"2020-01-25 12:00:00",1,268.43,237,0,0,92,1.56,-0.56,0.0024599999,99162.19,90
"2020-01-25 18:00:00",1,274.57,298,130,8.5e-05,95.700005,2.06,-1.3299999,0.00409,98771.92,98
"2020-01-26 00:00:00",1,274.3,317,32,0.000424,99.4,1.3,-1.6899999,0.00419,98199.875,99
"2020-01-26 06:00:00",1,274.2,324,0,0.000189,99.4,0.17999999,0.51,0.0041799997,97577.586,94
"2020-01-26 12:00:00",1,273.74,309,0,9e-06,96.4,-0.83,2.71,0.00393,97365.1,73
"2020-01-26 18:00:00",1,275.71,290,220,4e-06,89.1,-1.48,3.22,0.0042,97149.2,71
"2020-01-27 00:00:00",1,272.46,246,131,1e-06,95.1,-1.0799999,3.06,0.00354,97024.516,26
"2020-01-27 06:00:00",1,271.6,231,0,1e-06,91.700005,-1.26,3.59,0.0032199998,96790.555,13
"2020-01-27 12:00:00",1,270.80002,230,0,1e-06,86.9,-1.8299999,3.78,0.00286,96718.65,20
"2020-01-27 18:00:00",1,273.30002,233,293,3e-06,73.700005,-3.08,4.0099998,0.0029199999,96784.1,31
"2020-01-28 00:00:00",1,270.6,245,126,3e-06,80.200005,-2.44,3.3,0.00259,97069.664,52
"2020-01-28 06:00:00",1,269.05,218,0,1e-06,78.1,-1.9,3.07,0.0022399998,97163.89,15
"2020-01-28 12:00:00",1,268.04,222,0,2e-06,76.5,-1.9,3.28,0.00202,97192.164,28
"2020-01-28 18:00:00",1,271.37,210,330,0,51.8,-2.5,3.6899998,0.00177,97082.086,14
"2020-01-29 00:00:00",1,268.56,203,170,0,68,-1.56,2.78,0.0018699999,97035.49,3
"2020-01-29 06:00:00",1,267,201,0,0,77.200005,-1.13,1.9699999,0.00189,96783.73,3
"2020-01-29 12:00:00",1,265.55,208,0,3e-06,78.1,-2.2,1.43,0.00169,96657.336,48
"2020-01-29 18:00:00",1,265.88,217,280,1.3e-05,57.9,-3.9299998,3.03,0.00128,96692.2,73
"2020-01-30 00:00:00",1,261.53,207,134,1e-05,64.6,-3.73,2.98,0.00098,96954.77,73
"2020-01-30 06:00:00",1,259.6,187,0,4e-06,66.200005,-3,3.1999998,0.00083,97005.336,59
"2020-01-30 12:00:00",1,258.9,177,0,1e-06,66.9,-2.79,2.78,0.00078999996,97238.414,29
"2020-01-30 18:00:00",1,263.13,179,340,0,52.600002,-2.82,3.31,0.00091,97251.68,22
"2020-01-31 00:00:00",1,260.84,184,174,0,67.3,-2.81,2.95,0.00094999996,97611.375,17
"2020-01-31 06:00:00",1,259.1,182,0,0,68.6,-2.47,2.78,0.00081999996,97950.96,20
"2020-01-31 12:00:00",1,258.80002,184,0,0,70.1,-2.24,2.33,0.00081,98398.59,18
"2020-01-31 18:00:00",1,266.2,191,350,0,52.2,-1.62,1.8499999,0.00116,98555.64,10
"2020-02-01 00:00:00",1,264.5,196,177,0,74,-1.14,1.3299999,0.00142,98757.766,3
"2020-02-01 06:00:00",1,263,193,0,0,80.700005,-1.13,1.09,0.00137,98780.375,10
"2020-02-01 12:00:00",1,262.56,193,0,0,68.1,-0.82,0.5,0.00111,98723.055,2
"2020-02-01 18:00:00",1,271.27,206,330,0,32.100002,0.66999996,-0.68,0.00107,98548.234,32
"2020-02-02 00:00:00",1,268.44998,242,141,0,50.3,-0.25,-1.3199999,0.0013499999,98232.17,68
"2020-02-02 06:00:00",1,267.30002,244,0,0,68.1,-2.27,-1.17,0.00169,97812.46,98
"2020-01-17 06:00:00",2,262.91,9.999e+20,9.999e+20,9.999e+20,91.6,-4.02,3.6999998,0.0015499999,98439.15,9.999e+20
"2020-01-17 12:00:00",2,259.68,175,0,1e-06,89.8,-4.56,3.5,0.0011199999,99255.74,29
"2020-01-17 18:00:00",2,262.47,164,310,0,81.4,-4.02,3.8,0.00131,99553.67,1
"2020-01-18 00:00:00",2,260.79,168,150,0,87.4,-2.32,2.22,0.00121,99750.65,0
"2020-01-18 06:00:00",2,260.12,168,0,0,87.8,-2.28,2.49,0.00114,99714.94,33
"2020-01-18 12:00:00",2,261.08,193,0,0,86.4,-0.72999996,0.96,0.0012299999,99523.266,79
"2020-01-18 18:00:00",2,267.21,219,220,0,72.200005,2.04,-1.03,0.0017599999,98985.21,93
"2020-01-19 00:00:00",2,266.75998,258,94,4.6e-05,91.9,3.23,-2.53,0.00217,98049.734,95
"2020-01-19 06:00:00",2,271.94998,292,0,0.00044,98.8,1.14,-0.71,0.0035599999,96736.52,99
"2020-01-19 12:00:00",2,273.53,289,0,9e-06,98.6,1.1999999,3.12,0.00401,96193.5,76
"2020-01-19 18:00:00",2,273.50998,254,240,7e-06,95.700005,-0.11,5.29,0.0038899998,96128.4,48
"2020-01-20 00:00:00",2,268.34,264,91,9e-06,93.5,-2,5.77,0.0025499999,96643.06,69
"2020-01-20 06:00:00",2,265.13998,203,0,0,93.6,-2.75,3.8799999,0.00195,97043.2,5
"2020-01-20 12:00:00",2,263.49,194,0,0,94.1,-2.6499999,2.82,0.00169,97559.47,8
"2020-01-20 18:00:00",2,266.47,191,306,1e-06,89.5,-2.33,2.8999999,0.00207,97766.34,20
"2020-01-21 00:00:00",2,264.41,212,135,2e-06,95.200005,-0.56,2.3,0.00185,97957.93,55
"2020-01-21 06:00:00",2,262.66998,183,0,0,93.700005,-0.41,3.23,0.00156,97881.375,3
"2020-01-21 12:00:00",2,260.56,174,0,0,92,-1.73,2.6799998,0.00127,98042.99,2
"2020-01-21 18:00:00",2,261.63998,164,321,1e-06,84.3,-2.61,3.37,0.00127,98379.375,18
"2020-01-22 00:00:00",2,258.91,164,154,1e-06,91.4,-1.74,1.74,0.0010599999,98647.54,33
"2020-01-22 06:00:00",2,257,152,0,0,92.6,-1.51,0.94,9e-04,98950.055,9
"2020-01-22 12:00:00",2,255.18999,146,0,0,92.5,-1.35,0.48,0.00074,99237.49,13
"2020-01-22 18:00:00",2,261.6,154,330,0,73.700005,-1.13,1.12,0.0011,99220.95,4
"2020-01-23 00:00:00",2,259.94,175,157,0,88.700005,0.19999999,-0.42999998,0.00113,99316.836,28
"2020-01-23 06:00:00",2,260.75998,188,0,0,89.6,1.62,-0.17999999,0.00124,99351.31,19
"2020-01-23 12:00:00",2,262.54,204,0,0,86.5,1.8299999,0.77,0.0014,99248.53,28
"2020-01-23 18:00:00",2,271.38,248,260,0,84.200005,1.61,1.7199999,0.00284,98989.41,71
"2020-01-24 00:00:00",2,268.86,236,145,0,96.1,1.16,1.53,0.0026699998,99026.93,41
"2020-01-24 06:00:00",2,268.93,245,0,2e-06,95.5,0.56,1.75,0.0026699998,98827.73,78
"2020-01-24 12:00:00",2,268.62,251,0,2e-06,98.200005,-0.21,1.9,0.00268,98974.125,53
"2020-01-24 18:00:00",2,274.4,251,250,6e-06,92.8,-0.32,1.65,0.00391,98957.79,64
