"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-06-09 00:00:00",1,298.5,9.999e+20,9.999e+20,9.999e+20,73.1,3.8799999,0.11,0.01562,94986.96,9.999e+20
"2020-06-09 06:00:00",1,291.30002,355,23,0,97.8,1.87,0.87,0.013409999,95119.58,1
"2020-06-09 12:00:00",1,289.80002,328,29,0,92.8,2.33,0.26,0.01162,95031.89,12
"2020-06-09 18:00:00",1,301.7,352,637,0,42.3,3.56,-2.6299999,0.01096,94771.31,59
"2020-06-10 00:00:00",1,295.30002,385,453,3e-06,64.1,2.27,-3.72,0.01132,94323.18,95
"2020-06-10 06:00:00",1,292.1,392,6,0.001188,97.700005,1.1899999,-5.15,0.01442,92995.38,98
"2020-06-10 12:00:00",1,287.1,396,8,0.000131,90.6,-3.31,7.77,0.0097199995,93245.336,94
"2020-06-10 18:00:00",1,292.4,379,279,1.7e-05,73,-0.25,5.3199997,0.01083,93979.58,77
"2020-06-11 00:00:00",1,288.2,376,186,1.8e-05,68.9,-2.9099998,5.2999997,0.00781,94235.98,91
"2020-06-11 06:00:00",1,284,349,7,6e-06,71.1,-3.12,7.04,0.00612,94423.44,85
"2020-06-11 12:00:00",1,283.7,294,30,1e-06,64.9,-2.87,7.52,0.00542,94759.1,31
"2020-06-11 18:00:00",1,291.1,283,694,0,36.8,-4.2,7.72,0.0049799997,95163.35,2
"2020-06-12 00:00:00",1,289.5,296,674,0,47.3,-4.5299997,4.48,0.00573,95644.1,2
"2020-06-12 06:00:00",1,278.30002,283,25,0,81.3,-1.27,-0.35999998,0.0046699997,96079.52,1
"2020-06-12 12:00:00",1,281.1,315,8,3.5e-05,90.6,-0.47,-0.26,0.00629,96305.99,64
"2020-06-12 18:00:00",1,290.7,302,644,0,41.600002,-3.5,1.2099999,0.00543,96404.766,18
"2020-06-13 00:00:00",1,288,293,662,0,38.7,-3.62,-0.79999995,0.0042399997,96484.7,5
"2020-06-13 06:00:00",1,276.2,255,26,0,59.4,-1.17,-1.26,0.00293,96670.9,0
"2020-06-13 12:00:00",1,279.6,245,32,0,56.9,-1.23,-1.38,0.00355,96842.78,0
"2020-06-13 18:00:00",1,291,267,708,0,29.5,-0.22999999,-2.72,0.0038899998,96768.04,0
"2020-06-14 00:00:00",1,289.5,288,687,0,48.4,0.72999996,-2.6499999,0.00582,96658.43,0
"2020-06-14 06:00:00",1,278.30002,271,26,0,83,2.03,-0.84,0.00471,96807.555,0
"2020-06-14 12:00:00",1,280.4,251,32,0,66,1.65,-1.22,0.00434,96935.11,0
"2020-06-14 18:00:00",1,291.80002,270,710,0,36.2,4.0299997,-1.36,0.0050299997,96803.336,27
"2020-06-15 00:00:00",1,289.80002,295,684,0,49.2,3.9199998,-1.5999999,0.00604,96591.91,33
"2020-06-15 06:00:00",1,280.5,276,25,0,77.700005,3,-0.87,0.00514,96622.42,65
"2020-06-15 12:00:00",1,284.30002,312,10,0,61.600002,5.52,-0.24,0.0052799997,96423.07,95
"2020-06-15 18:00:00",1,293.30002,339,469,0,44.3,6.91,-0.78,0.00682,96086.36,97
"2020-06-16 00:00:00",1,293.5,339,639,0,58.5,5.35,0.39,0.009099999,95891.49,66
"2020-06-16 06:00:00",1,288.80002,340,23,0,75.1,5.14,0.65,0.00873,95824.875,61
"2020-06-16 12:00:00",1,287.1,361,14,0.000373,96.4,3.9199998,1.78,0.00999,95735.42,77
"2020-06-16 18:00:00",1,296.5,368,528,3.9e-05,68.1,3.3899999,1.6899999,0.01284,95567.18,48
"2020-06-17 00:00:00",1,298.6,378,621,1e-06,70.8,2.3799999,0.9,0.01514,95454.18,20
"2020-06-17 06:00:00",1,292.1,360,25,0,98.6,2.29,0.12,0.0141199995,95693.15,4
