"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-09-12 00:00:00",1,294.4,9.999e+20,9.999e+20,9.999e+20,93,0.32999998,-2.07,0.01516,96781.12,9.999e+20
"2020-09-12 06:00:00",1,293.1,387,0,0.000112,98,-0.65999997,-2.27,0.01476,96800.62,40
"2020-09-12 12:00:00",1,292.30002,409,0,0.000131,98.4,-0.41,-2.36,0.01416,96840.21,97
"2020-09-12 18:00:00",1,293.1,407,46,9.3e-05,96.6,-0.45,-2.09,0.01456,96894.87,97
"2020-09-13 00:00:00",1,293.1,404,146,2.3e-05,91.8,0.02,-1.99,0.01385,96737.7,76
"2020-09-13 06:00:00",1,290.6,398,0,4.5e-05,98,0.39999998,-1.5699999,0.01261,96784.71,89
"2020-09-13 12:00:00",1,289.6,376,6,7e-06,96.6,-0.37,-0.78999996,0.01167,96734.164,63
"2020-09-13 18:00:00",1,301.30002,373,541,1e-06,51.600002,1.48,0.5,0.0128,96558.164,28
"2020-09-14 00:00:00",1,294.6,402,370,0,82.4,1.4,0.68,0.013719999,96418.836,24
"2020-09-14 06:00:00",1,292.80002,374,0,0,93.3,-0.71999997,1.68,0.0138799995,96498.27,9
"2020-09-14 12:00:00",1,292.9,384,3,4.2e-05,96.6,-1.49,1.29,0.0144,96618.875,78
"2020-09-14 18:00:00",1,301.1,385,538,6e-06,46.5,-2.6599998,-1.1999999,0.01143,96694,46
"2020-09-15 00:00:00",1,294.6,372,410,0,64.5,-1.51,-1.2099999,0.01066,96756.54,24
"2020-09-15 06:00:00",1,288.6,367,0,0,86.6,-1.55,-1.38,0.009769999,97127.99,50
"2020-09-15 12:00:00",1,284.1,300,8,0,85.700005,-1.74,-0.65,0.0071699996,97357.36,1
"2020-09-15 18:00:00",1,295.1,292,641,0,31.1,-0.71999997,-2.33,0.00527,97222.9,0
"2020-09-16 00:00:00",1,285.7,298,436,0,62.4,0.68,-1.7199999,0.0058299997,97141.445,0
"2020-09-16 06:00:00",1,279.4,280,0,0,93.3,0.82,0.089999996,0.00569,97142.08,1
"2020-09-16 12:00:00",1,284,283,8,0,94.200005,0.81,0.76,0.00786,97092.2,37
"2020-09-16 18:00:00",1,299.1,323,609,0,44.100002,1.68,-0.52,0.009579999,96850.305,49
"2020-09-17 00:00:00",1,290.2,343,411,0,74,2.08,-0.38,0.00933,96740.02,9
"2020-09-17 06:00:00",1,285.80002,315,0,0,95.4,0.90999997,1.6999999,0.009029999,96675.14,1
"2020-09-17 12:00:00",1,286.5,308,7,0,91.200005,0.56,1.41,0.009029999,96694.98,22
"2020-09-17 18:00:00",1,299.7,347,552,0,42.9,2.08,0,0.00969,96528.08,78
"2020-09-18 00:00:00",1,292.7,371,332,0,69.6,2.08,0.13,0.01028,96450.64,89
"2020-09-18 06:00:00",1,289.5,352,0,0,92.200005,-0.04,1.8399999,0.011109999,96425.71,80
"2020-09-18 12:00:00",1,290.6,350,7,0,88.4,-1.31,1.3199999,0.01146,96429.19,67
"2020-09-18 18:00:00",1,299,377,492,4.6e-05,63.3,-0.98999995,-0.82,0.013719999,96369.766,77
"2020-09-19 00:00:00",1,291.7,389,213,0.000134,90.5,-0.91999996,-0.82,0.01255,96368.71,98
"2020-09-19 06:00:00",1,290.1,361,0,0.000145,99.3,-1.75,-0.91999996,0.01241,96534.78,79
"2020-09-19 12:00:00",1,287.30002,392,0,0.000109,95.9,-2.06,-2.79,0.01,96780.555,99
"2020-09-19 18:00:00",1,291.5,356,344,3e-06,54.8,-2.4099998,-2.77,0.00745,96937.06,93
"2020-09-20 00:00:00",1,286.9,341,294,0,70.1,-1.06,-1.43,0.0071099997,96993.1,90
"2020-09-20 06:00:00",1,283.1,322,0,0,83.9,-1.25,-1.42,0.0065599997,97324.76,93
"2020-09-20 12:00:00",1,280.9,284,7,0,88,-1.7099999,-1.12,0.0059599997,97454.82,8
"2020-09-20 18:00:00",1,291.5,288,611,0,42.9,-0.93,-3.1599998,0.00582,97461.445,3
"2020-09-21 00:00:00",1,285.5,294,404,0,62.7,-0.26999998,-2.18,0.0057699997,97501.19,1
"2020-09-21 06:00:00",1,279.6,276,0,0,92.200005,-1.24,-1.04,0.00567,97669.15,5
"2020-09-21 12:00:00",1,281.4,325,3,7e-06,91.1,-1.67,-1.04,0.00634,97709.01,72
"2020-09-21 18:00:00",1,292.6,311,541,1e-06,51.100002,0.07,-2.73,0.0074199997,97503.17,59
"2020-09-22 00:00:00",1,288,334,347,0,77.6,0.13,-1.8,0.00842,97430.47,69
"2020-09-22 06:00:00",1,285.2,348,0,2.4e-05,96.3,-1.2099999,-0.87,0.00868,97432.984,92
"2020-09-22 12:00:00",1,285.80002,368,1,3.5e-05,97.3,-1.63,-0.63,0.00916,97383.96,93
"2020-09-22 18:00:00",1,293.9,377,261,3e-05,75.1,-0.61,-1.78,0.01174,97282,92
"2020-09-23 00:00:00",1,290.1,381,202,0.000161,95.8,-0.64,-1.53,0.011949999,97211.09,94
"2020-09-23 06:00:00",1,288.9,372,0,0.000139,99,-1.3,-1.27,0.01136,97193.92,92
"2020-09-23 12:00:00",1,288.4,376,1,0.000206,99,-1.55,-1.1899999,0.01105,97192.305,99
"2020-09-23 18:00:00",1,291.9,379,199,0.000147,92.1,-1.75,-2.6399999,0.012829999,97146.49,97
"2020-09-24 00:00:00",1,290.5,391,173,9.8e-05,97.6,-1.49,-2.27,0.0124699995,97051.02,91
"2020-09-24 06:00:00",1,289.80002,390,0,0.000266,98.1,-1.78,-2.6499999,0.01194,96950.836,99
"2020-09-24 12:00:00",1,288,378,1,0.000704,97.6,-2.77,-2.46,0.010629999,96902.37,100
