"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","pressfc","tcdcclm"
"2020-09-26 12:00:00",1,287.22327,9.999e+20,9.999e+20,46291666666666664,93.71781,-1.8100122,0.4533423,95501.97,9.999e+20
"2020-09-26 18:00:00",1,297.83804,358,465,0,57.77194,-0.2660791,-0.748042,95380.14,46
"2020-09-27 00:00:00",1,291.6,395,222,0,80.89538,0.6524048,-0.56551754,95360.414,87
"2020-09-27 06:00:00",1,288.44882,356,0,0,92.85529,0.6309399,1.1008276,95406.02,48
"2020-09-27 12:00:00",1,287.50095,326.40515,5,0,96.105,-0.23376708,0.54778075,95349.805,8
"2020-09-27 18:00:00",1,297.554,352,500,0,58.284283,2.7614207,-0.4460571,95190.77,41
"2020-09-28 00:00:00",1,291.14276,372,252,1.38888888888889e-05,92.562744,1.0046899,-0.5517334,95067.555,74
"2020-09-28 06:00:00",1,288.45148,346,0,0,97.6336,0.615144,0.9545337,95049.21,63
"2020-09-28 12:00:00",1,288.45773,333,4,0,97.39865,0.4855664,0.17300048,95069.33,1
"2020-09-28 18:00:00",1,298.6,353,545,3.75e-05,60.1798,4.2069016,-0.53620607,94968.63,8
"2020-09-29 00:00:00",1,292.0807,363,343,1.85185185185185e-05,89.681625,1.7876049,-0.8004541,94820.87,3
"2020-09-29 06:00:00",1,290.92685,376.53992,0,9.25925925925926e-06,98.425224,1.0422046,-0.4903955,94829.89,81
"2020-09-29 12:00:00",1,290.15372,365,3,3.24074074074074e-05,96.771866,-0.5710644,1.3137524,94825.33,65
"2020-09-29 18:00:00",1,295.9675,369,416,4.16666685185185e-05,68.641556,0.1797583,0.30525145,94585.234,71
"2020-09-30 00:00:00",1,286.4653,374,212,0.000222222222222222,95.85084,-1.3580176,2.5782542,94560.56,95
"2020-09-30 06:00:00",1,284.02704,368,0,0.000138888888888889,95.21561,-0.8378491,2.5027466,94487.414,100
"2020-09-30 12:00:00",1,281.19998,321,3,1.38888888888889e-06,92.52978,-1.6916406,2.8372972,94628.45,88
"2020-09-30 18:00:00",1,289.70187,289,528,9.25925925925926e-07,47.954266,-1.9063745,4.0437646,94532.12,50
"2020-10-01 00:00:00",1,285.292,295.32538,351,0,69.72104,0.3687915,2.3411865,94737.266,0
"2020-10-01 06:00:00",1,280.98566,282,0,0,95.14511,0.1694165,1.9452904,95001.59,0
"2020-10-01 12:00:00",1,279.9814,267,4,0,91.4985,0.30751953,2.1482153,95201.52,3
"2020-10-01 18:00:00",1,291.37314,292,511,0,41.52529,1.8092895,4.3849025,95097.25,17
"2020-10-02 00:00:00",1,284.62576,332,181,0,59.53351,-0.36537352,1.8797851,95165.375,55
"2020-10-02 06:00:00",1,278.87637,267.27136,0,0,80.65557,-0.61379635,1.8971215,95356.914,0
"2020-10-02 12:00:00",1,277.4,252,4,0,87.07696,-0.29191405,1.619912,95476.15,0
"2020-10-02 18:00:00",1,288.2,265,565,0,40.71427,-2.1343944,3.4663963,95495.15,4
"2020-10-03 00:00:00",1,283.64944,328.07758,246,0,60.68827,-0.69104004,1.5077368,95657.73,84
"2020-10-03 06:00:00",1,278.10873,286,0,0,86.0877,-0.63094723,1.7554955,95808.29,45
"2020-10-03 12:00:00",1,277.36404,256,3,0,91.53587,-0.54813963,1.4584692,95983.48,1
"2020-10-03 18:00:00",1,286.89203,275,516,0,41.637154,-1.7937865,2.5100975,96010.836,19
"2020-10-04 00:00:00",1,279.97873,284.80933,283,0,68.71995,-1.1930591,1.345354,96136.68,39
"2020-10-04 06:00:00",1,276.39493,254,0,0,93.04647,-0.6888379,1.142539,96300.195,0
"2020-10-04 12:00:00",1,276.65485,255,3,0,87.47096,-0.9039746,0.92988765,96322.12,71
"2020-10-04 18:00:00",1,290.24054,287,500,0,36.39907,1.0368481,1.4775512,96154.84,51
"2020-10-05 00:00:00",1,283.66165,309,303,0,64.20279,0.26341796,0.70966065,96070.44,52
"2020-10-05 06:00:00",1,281.0415,299,0,0,71.5393,-0.47968015,0.85870606,96099.34,49
"2020-10-05 12:00:00",1,280.05963,302,3,0,77.63009,-0.6048413,0.82975096,96147.68,50
"2020-10-05 18:00:00",1,293.65866,303,508,0,43.98951,0.90605223,0.94527096,96004.56,24
"2020-10-06 00:00:00",1,285.7611,354,162,0,79.13802,1.2116674,-0.2868091,95893.586,75
"2020-10-06 06:00:00",1,285.12003,321,0,0,84.05659,1.0752587,0.8686743,95873.94,48
"2020-10-06 12:00:00",1,283.9774,336.11273,3,0,92.99459,0.07955566,1.1006091,95898.24,60
"2020-10-06 18:00:00",1,297.7,326,524,0,42.581387,1.361355,1.9994873,95714.95,0
"2020-10-07 00:00:00",1,289.28012,340,315,0,80.13998,1.1201636,0.8606543,95591.98,0
"2020-10-07 06:00:00",1,285.54922,314,0,0,95.933876,0.5646875,1.2840674,95646.555,0
"2020-10-07 12:00:00",1,285.1,305,3,0,93.75671,-0.3361084,1.0333178,95672.51,0
"2020-10-07 18:00:00",1,298.12473,330,523,0,43.71133,2.2505908,-1.7307348,95470.92,22
"2020-10-08 00:00:00",1,288.97723,336,315,0,84.201614,1.62604,-0.89890987,95437.92,0
"2020-10-08 06:00:00",1,284.55493,307,0,0,97.273415,0.3366174,-0.25855467,95428.22,0
"2020-10-08 12:00:00",1,283.63034,292,3,0,98.217094,-0.35759643,-0.24378906,95412.516,10
"2020-10-08 18:00:00",1,294.5505,316,500,0,53.36025,2.8401024,-2.1157372,95195.02,30
"2020-10-09 00:00:00",1,288.58704,337,303,0,86.09853,0.5691357,-1.0714111,94962.81,27
"2020-10-09 06:00:00",1,287.91312,379,0,8.19444444444445e-05,98.776085,-1.0983875,-0.63308346,94659.95,99
"2020-10-09 12:00:00",1,288.22952,381,1,4.62962962962963e-06,97.999466,-0.34972167,0.2524121,94289.39,98
"2020-10-09 18:00:00",1,294.33377,370,300,2.77777777777778e-05,64.87108,-2.315061,6.2412267,94020.76,74
"2020-10-10 00:00:00",1,283.82477,317.97803,249,4.62962962962963e-06,69.12544,-2.4901733,4.0423045,94391.47,35
"2020-10-10 06:00:00",1,281.31625,269,0,0,82.05485,-1.7849194,3.5195959,94350.64,0
"2020-10-10 12:00:00",1,278.7,269,0,0,71.70663,-1.3205103,3.4950683,94534.15,25
"2020-10-10 18:00:00",1,281.7,289,360,1.38888888888889e-05,56.289852,-1.5742847,5.9111447,94698.62,66
"2020-10-11 00:00:00",1,277.36407,262,288,0,65.373405,-1.6433008,2.9008472,94927.48,44
"2020-10-11 06:00:00",1,275.36703,242,0,0,69.75885,-2.6304224,4.066714,94979.37,1
"2020-10-11 12:00:00",1,273,229,2,0,78.00234,-1.1510448,2.6607738,95231.12,2
"2020-10-11 18:00:00",1,283.41882,235,542,0,38.82989,-3.5087523,3.9180956,95323.89,1
"2020-10-12 00:00:00",1,277.51553,252,318,0,60.108242,-0.8475195,1.7984521,95416.31,0
"2020-10-12 06:00:00",1,274.28452,244.07758,0,0,75.29149,-0.88759273,1.4840845,95599.94,0
"2020-10-12 12:00:00",1,274.39224,247,2,0,72.09236,-0.67896974,1.2349975,95667.65,4
"2020-09-26 12:00:00",2,287.4124,9.999e+20,9.999e+20,46291666666666664,93.8,-1.9099926,0.6255371,95553.09,9.999e+20
