"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","pressfc","tcdcclm"
"2020-10-10 00:00:00",1,286.76956,9.999e+20,9.999e+20,46291666666666664,78.80996,0.8847265,-0.22029297,95951.695,9.999e+20
"2020-10-10 06:00:00",1,286.62088,347,0,0,82.63894,1.1245337,0.4639917,95798.88,100
"2020-10-10 12:00:00",1,287.44913,368,0,4.62962962962963e-05,97.639175,1.3852856,0.24177246,95828.17,100
"2020-10-10 18:00:00",1,288.39902,379,30,0.00025,97.1212,1.1075048,0.404021,95749.81,100
"2020-10-11 00:00:00",1,287.86838,376,33,4.16666685185185e-05,98.842,0.65321773,-0.25805175,95616.67,100
"2020-10-11 06:00:00",1,288.37552,379,0,0.000273148148148148,99.69189,0.50648195,-0.666438,95542.88,100
"2020-10-11 12:00:00",1,288.22424,389,0,0.000537037037037037,99.54788,0.22075073,-1.6147033,95527.75,100
"2020-10-11 18:00:00",1,288.48776,386,12,0.000412037083333333,99.14067,0.035205077,-2.3952794,95361.305,100
"2020-10-12 00:00:00",1,288.3024,391,11,0.000125,99.40254,0.35050413,-2.1211278,95218.586,100
"2020-10-12 06:00:00",1,288.95944,392,0,0.000152777777777778,99.79455,-0.24069092,-2.044314,95031.836,100
"2020-10-12 12:00:00",1,289.63828,397,0,0.000148148148148148,99.74389,0.29490232,-1.1642016,94930.055,100
"2020-10-12 18:00:00",1,292.23254,403,74,2.77777777777778e-05,95.61544,0.4821118,-0.8439599,94856.836,100
"2020-10-13 00:00:00",1,290.72504,387,91,6.48148148148148e-06,98.71786,0.58981323,-0.57819337,94763.83,79
"2020-10-13 06:00:00",1,289.7494,359,0,9.25925925925926e-06,97.53583,-0.53619015,2.6607494,94830.24,54
"2020-10-13 12:00:00",1,280.85352,302,2,0,91.22892,-1.2877465,2.4337158,95241.31,26
"2020-10-13 18:00:00",1,292.655,270.19067,531,0,35.254402,-2.0141797,1.567141,95352.586,0
"2020-10-14 00:00:00",1,284.3668,287,307,0,67.071045,-0.68586427,1.685221,95397.09,0
"2020-10-14 06:00:00",1,280.8562,269,0,0,75.15399,-0.70283324,1.6257019,95405.75,0
"2020-10-14 12:00:00",1,280.0304,263.07886,2,0,73.03808,-1.027085,1.8333862,95498.12,0
"2020-10-14 18:00:00",1,293.07455,288.19067,510,0,42.679745,-1.8477588,2.9301183,95442.055,2
"2020-10-15 00:00:00",1,284.51013,299,295,0,71.512856,-0.6437915,0.9465124,95476.15,0
"2020-10-15 06:00:00",1,281.8701,283,0,0,81.96607,0.6866821,0.6588037,95434.96,0
"2020-10-15 12:00:00",1,281.46686,280,2,0,87.12284,1.0128027,1.4178625,95399.4,9
"2020-10-15 18:00:00",1,297.6921,303.02197,502,0,31.555002,1.3041137,4.8677487,95145.18,0
"2020-10-16 00:00:00",1,288.6363,331,284,0,71.032074,0.9438501,2.2159252,95135.18,0
"2020-10-16 06:00:00",1,287.0175,351,0,4.62962962962963e-06,86.369736,-1.3505713,2.0456629,95346.83,65
"2020-10-16 12:00:00",1,281.03607,315,1,0,84.25071,-0.98456544,1.7905139,95606.02,57
"2020-10-16 18:00:00",1,289.3226,279.94415,466,0,38.82185,-1.0217627,4.591433,95493.164,75
"2020-10-17 00:00:00",1,280.8904,269,293,0,50.26948,-0.9432519,2.177522,95594.76,0
"2020-10-17 06:00:00",1,277.1201,244,0,0,64.12127,-0.47071776,2.0052588,95585.27,23
"2020-10-17 12:00:00",1,275.53683,245,1,0,73.566734,-0.6449316,1.6360669,95647.15,70
"2020-10-17 18:00:00",1,283.46848,245.53992,490,0,33.528534,-1.7369653,5.1684666,95573.445,43
"2020-10-18 00:00:00",1,276.41916,242.46008,294,0,57.17698,-1.023059,1.676787,95619.25,0
"2020-10-18 06:00:00",1,272.64133,228,0,0,72.55056,-0.30813965,1.4476978,95623.37,0
"2020-10-18 12:00:00",1,271.51935,221.13568,0,0,81.8153,-0.06427979,1.7792895,95674.15,0
"2020-10-18 18:00:00",1,284.3552,234,510,0,26.558374,-1.4009057,4.759009,95578.99,5
"2020-10-19 00:00:00",1,277.55307,252,288,0,54.462105,0.054504395,1.2100915,95632.74,3
"2020-10-19 06:00:00",1,276.12274,262,0,0,74.00012,0.33246338,0.5250842,95721.02,28
"2020-10-19 12:00:00",1,276.7708,273,0,0,74.88263,-0.11090576,-0.456604,95790.58,50
"2020-10-19 18:00:00",1,280.5,336,70,1.38888888888889e-05,81.10169,0.41915527,-0.58091795,95846.29,96
"2020-10-20 00:00:00",1,280.9291,340,106,0,81.57258,-0.36079833,-0.78005123,95909.875,79
"2020-10-20 06:00:00",1,279.04953,298,0,0,93.413704,0.7025439,0.43456298,95943.14,17
"2020-10-20 12:00:00",1,279.31125,289,0,0,93.23536,0.6273584,-0.3868152,95952.65,89
"2020-10-20 18:00:00",1,292.27283,317,370,0,53.592854,3.6481884,-1.0455616,95764.37,86
"2020-10-21 00:00:00",1,285.70703,317,252,0,92.452385,1.8546094,-0.8551538,95616.836,46
"2020-10-21 06:00:00",1,286.3629,349,0,0,97.56579,1.4892089,-0.93496335,95575.484,97
"2020-10-21 12:00:00",1,286.95602,372,0,1.85185185185185e-05,98.14239,1.343977,-1.103811,95329.97,100
"2020-10-21 18:00:00",1,292.0024,374,190,7.40740740740741e-05,77.79879,-0.5645581,2.2239063,95307.27,100
"2020-10-22 00:00:00",1,284.5047,332,208,1.38888888888889e-05,93.53768,-0.9448022,1.2716113,95534.5,98
"2020-10-22 06:00:00",1,280.96,290,0,0,93.93862,-1.2184325,1.0218261,95662.06,99
"2020-10-22 12:00:00",1,281.29816,296,0,0,79.706764,-0.4639209,-0.50558347,95686.2,100
"2020-10-22 18:00:00",1,291.5956,329,390,0,58.648052,2.280205,-1.0299047,95515.9,63
"2020-10-23 00:00:00",1,286.59235,346,223,1.38888888888889e-05,90.11311,0.3560278,-0.5940234,95506.375,78
"2020-10-23 06:00:00",1,285.32672,371,0,0.000194444458333333,95.75526,-0.7745019,1.2263818,95488.414,100
"2020-10-23 12:00:00",1,282.35938,354,0,1.85185185185185e-05,89.545166,-1.506997,1.7515844,95579.15,100
"2020-10-23 18:00:00",1,285.39136,335,190,9.25925925925926e-06,56.02894,-2.527434,3.5265307,95673.08,100
"2020-10-24 00:00:00",1,279.1046,291.5143,136,0,66.7,-1.6173583,1.8176538,95884.79,100
"2020-10-24 06:00:00",1,275.55096,242,0,0,79.2349,-1.0321045,1.2353467,95955.86,8
"2020-10-24 12:00:00",1,277.09024,269.873,0,0,74.0133,-0.85033447,0.8780469,96056.02,80
"2020-10-24 18:00:00",1,285.318,310,300,0,41.823742,-1.9765844,1.0437793,95974.43,99
"2020-10-25 00:00:00",1,278.95813,284.32538,222,0,72.20071,-1.9599584,0.86509764,96102.42,59
"2020-10-25 06:00:00",1,273.98123,244,0,0,94.348785,-1.1459448,1.0656567,96139.6,2
"2020-10-25 12:00:00",1,272.1638,227,0,0,94.24076,-1.034624,1.3533227,96305.13,0
"2020-10-25 18:00:00",1,287.2976,240,480,0,33.293022,-0.44132078,0.67028075,96147.89,0
"2020-10-26 00:00:00",1,277.79172,254,264,0,63.181835,-0.23860595,1.3246045,96061.086,0
"2020-10-10 00:00:00",2,286.851,9.999e+20,9.999e+20,46291666666666664,77.24556,0.9860449,-0.022185057,95925.61,9.999e+20
"2020-10-10 06:00:00",2,286.86502,352,0,0,81.08115,0.8217578,0.26978514,95727.13,100
"2020-10-10 12:00:00",2,288.00522,369,0,2.77777777777778e-05,90.46348,2.0584326,0.8104663,95760.914,100
"2020-10-10 18:00:00",2,288.8243,376,43,0.000263888902777778,97.31228,0.38548338,0.7525708,95720.164,100
"2020-10-11 00:00:00",2,288.3769,379,25,0.000231481481481481,98.94746,0.8883569,0.27595702,95561.31,100
"2020-10-11 06:00:00",2,288.69772,382,0,0.000347222222222222,99.72712,0.28915527,-0.9640698,95461.24,100
"2020-10-11 12:00:00",2,288.2921,392,0,0.000555555555555556,99.522545,0.3105664,-1.68385,95321.54,100
"2020-10-11 18:00:00",2,287.8024,389,10,0.000453703703703704,99.00211,-0.619187,-2.4937012,95217.3,100
"2020-10-12 00:00:00",2,288.11835,389,12,8.7962962962963e-05,99.18275,-0.8671606,-2.7645972,95071.45,100
"2020-10-12 06:00:00",2,288.50327,390,0,8.7962962962963e-05,99.52768,-1.1850463,-2.2147582,94826.45,100
"2020-10-12 12:00:00",2,289.43088,395,0,9.72222268518518e-05,99.71632,-0.48701414,-0.9886377,94742.96,100
"2020-10-12 18:00:00",2,291.77225,401,40,3.24074074074074e-05,97.40445,-0.54051757,-0.20683593,94630.95,100
"2020-10-13 00:00:00",2,290.8005,383,137,4.62962962962963e-06,97.88211,0.104384765,-0.45569822,94548.28,74
"2020-10-13 06:00:00",2,289.76428,355,0,0,98.618,1.0741748,1.4422216,94507.35,50
"2020-10-13 12:00:00",2,281.3415,311,2,0,88.317986,-1.2490796,2.524995,94897.586,15
"2020-10-13 18:00:00",2,290.6963,272,530,0,42.81834,-3.485426,3.951909,95128.68,0
"2020-10-14 00:00:00",2,282.97186,276.50497,309,0,57.6381,-0.64490724,1.3844458,95269.99,0
"2020-10-14 06:00:00",2,280.3305,265,0,0,67.753685,-0.7147656,1.6060278,95322.9,0
"2020-10-14 12:00:00",2,279.7,264,2,0,71.50118,-0.1782312,1.6027075,95303.555,0
"2020-10-14 18:00:00",2,291.5382,288,506,0,42.822308,-0.671687,4.673939,95130.44,3
"2020-10-15 00:00:00",2,282.54977,289,276,0,55.76349,-1.5753686,2.3857105,95247.79,46
"2020-10-15 06:00:00",2,277.68036,249,0,0,68.877785,-0.7650537,2.188484,95290.9,10
"2020-10-15 12:00:00",2,276.41443,245.32538,2,0,77.40189,0.06613525,1.619458,95241.1,0
"2020-10-15 18:00:00",2,291.09998,275,500,0,37.026123,3.7852368,2.0951514,94956.9,6
