"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-06-14 06:00:00",1,290,9.999e+20,9.999e+20,9.999e+20,86.3,8.38,-7.6499996,0.010849999,95531.58,9.999e+20
"2020-06-14 12:00:00",1,287.5,360,7,4e-06,89.700005,7.6,-8.139999,0.00964,95307.74,74
"2020-06-14 18:00:00",1,295.1,375,312,1e-05,67.700005,11.29,-8.87,0.011779999,95018.33,84
"2020-06-15 00:00:00",1,298.30002,388,562,2e-06,69,9.639999,-6.94,0.014649999,94805.54,70
"2020-06-15 06:00:00",1,295.30002,370,58,0,74.5,8.91,-5.1099997,0.013169999,94728.695,2
"2020-06-15 12:00:00",1,291,336,12,0,72.9,4.1,0.65,0.00988,94753.07,1
"2020-06-15 18:00:00",1,300.80002,344,604,0,51.3,-4.75,0.7,0.01263,95022.27,25
"2020-06-16 00:00:00",1,301.4,381,727,0,48.3,-2.55,-0.35,0.0122299995,95099.1,38
"2020-06-16 06:00:00",1,292.4,356,57,0,59.8,-2.8,-2.95,0.00878,95175.625,33
"2020-06-16 12:00:00",1,291.80002,340,11,0,80.8,3.34,-4.79,0.0115,94874.44,49
"2020-06-16 18:00:00",1,301.4,352,601,0,50.8,12.66,-3.1699998,0.01297,94579.43,25
"2020-06-17 00:00:00",1,303,386,740,0,51.3,11.259999,-1.66,0.014479999,94377.3,3
"2020-06-17 06:00:00",1,297.7,376,61,2e-05,54.4,11.19,0.17999999,0.0112,94451.125,2
"2020-06-17 12:00:00",1,294.9,380,8,4.4e-05,68.5,7.1499996,-0.94,0.01181,94496.96,79
"2020-06-17 18:00:00",1,301.4,369,591,1e-05,53.600002,10.17,-0.84,0.01378,94423.91,17
"2020-06-18 00:00:00",1,302.6,399,693,2.8e-05,54.9,7.1499996,2.96,0.01509,94207.65,48
"2020-06-18 06:00:00",1,289,355,61,2.8e-05,87.700005,-0.65999997,3.54,0.01041,94925.81,1
"2020-06-18 12:00:00",1,286.1,300,12,0,77.6,2.25,6.95,0.00763,95067.086,5
"2020-06-18 18:00:00",1,296.6,316,614,0,47.7,-2.3999999,4.5,0.00908,95293.84,0
"2020-06-19 00:00:00",1,297.9,357,713,0,47,0.5,2.61,0.00971,95210.19,15
"2020-06-19 06:00:00",1,288.80002,350,26,0,73,0.65,1.7199999,0.00851,95240.83,30
"2020-06-19 12:00:00",1,290.5,319,8,0,62.9,3.8,2.11,0.0081899995,95232.87,15
"2020-06-19 18:00:00",1,295.4,369,247,6e-06,52.600002,3.1799998,3.51,0.00931,95374.71,96
"2020-06-20 00:00:00",1,297.7,373,575,1.1e-05,52,-2.07,3.23,0.010559999,95299.836,76
