"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-07-31 18:00:00",1,307.4,9.999e+20,9.999e+20,9.999e+20,43.5,1.39,1.52,0.014649999,101215.37,9.999e+20
"2020-08-01 00:00:00",1,304.5,429,581,0,53.7,1.25,1.54,0.015369999,101017.44,24
"2020-08-01 06:00:00",1,299.2,410,1,0,77.4,1.86,0.61,0.01625,101108.14,39
"2020-08-01 12:00:00",1,299.2,403,15,1.1e-05,81,1.3299999,-0.29,0.016929999,101203.875,9
"2020-08-01 18:00:00",1,307.6,424,700,5e-05,44.8,1.35,-1.0699999,0.01524,101106.836,3
"2020-08-02 00:00:00",1,303.30002,435,536,3e-06,50.8,0.97999996,-3.9499998,0.01358,100990.62,18
"2020-08-02 06:00:00",1,298.30002,393,1,0,79.4,-0.19,-2,0.01578,101024.38,1
"2020-08-02 12:00:00",1,299.1,394,14,3e-06,82.6,-2.18,-1.6899999,0.017169999,100960.12,2
"2020-08-02 18:00:00",1,305.7,429,663,7.4e-05,58,-2.12,-5.1099997,0.01783,100804.49,14
"2020-08-03 00:00:00",1,302.2,440,420,3.6e-05,70.700005,-2.32,-4.61,0.017789999,100717.5,33
"2020-08-03 06:00:00",1,300.30002,423,1,2e-06,79.3,-3.84,-6.12,0.0179,100513.74,66
"2020-08-03 12:00:00",1,298.9,438,2,9.7e-05,90.1,-4.93,0.16,0.01869,100072.19,100
"2020-08-03 18:00:00",1,301.5,446,158,4.7e-05,77.3,-0.93,6.0699997,0.01871,100466.24,100
"2020-08-04 00:00:00",1,303.4,447,249,8e-06,64.4,-0.11,2.07,0.0173,100661.71,99
"2020-08-04 06:00:00",1,299.7,424,1,0,83.9,2.54,0.53999996,0.01815,100866.62,98
"2020-08-04 12:00:00",1,298.9,414,11,2e-05,89.1,1.8199999,0.93,0.01841,100985.99,94
"2020-08-04 18:00:00",1,308.6,431,685,4.7e-05,44.8,0.89,1.8399999,0.016099999,100912.25,34
"2020-08-05 00:00:00",1,301.80002,443,477,0.000336,78.4,1.9499999,-1.4499999,0.01917,100966.4,72
"2020-08-05 06:00:00",1,298.7,416,1,2.5e-05,89.5,1.99,0.57,0.018229999,100983.664,53
"2020-08-05 12:00:00",1,298.80002,401,14,0,86.700005,1.56,0.19,0.017789999,101066.7,2
"2020-08-05 18:00:00",1,308.2,422,699,3.2e-05,43.9,1.8,-0.63,0.015459999,100996.91,2
"2020-08-06 00:00:00",1,302.7,434,536,0.000207,70.700005,1.36,-1.39,0.01824,100990.95,42
"2020-08-06 06:00:00",1,298.5,410,1,4e-06,86.5,1.88,-1.0799999,0.017409999,101061.95,9
"2020-08-06 12:00:00",1,298.5,399,13,1e-06,85.700005,1.06,0.089999996,0.01725,101136.625,0
"2020-08-06 18:00:00",1,304.80002,425,683,0.000172,60.3,0.31,-1.8299999,0.01754,101098.41,12
"2020-08-07 00:00:00",1,302.4,427,556,0.000189,67.8,0.48,-2.04,0.01715,101105.695,63
"2020-08-07 06:00:00",1,298.4,405,0,0,81.9,0.66999996,-1.75,0.01635,101188.43,32
"2020-08-07 12:00:00",1,298.9,396,13,0,83.700005,0.62,-0.82,0.01716,101336.4,6
"2020-08-07 18:00:00",1,307.30002,424,676,1.6e-05,46.4,0.13,-2.56,0.015489999,101344.586,11
"2020-08-08 00:00:00",1,302.4,435,489,9.8e-05,69,0.84,-2.09,0.01746,101382.32,75
"2020-08-08 06:00:00",1,298.6,410,0,0,83.9,1.01,-1.49,0.01687,101491.52,41
"2020-08-08 12:00:00",1,298.9,399,13,0,82.700005,0.88,-1,0.01695,101594.7,11
"2020-08-08 18:00:00",1,307.1,426,643,6e-06,46.7,0.5,-1.93,0.015459999,101504.53,16
"2020-08-09 00:00:00",1,302.30002,439,460,0.000123,72.4,1.1999999,-1.73,0.01812,101496.32,77
"2020-08-09 06:00:00",1,299.1,416,0,3e-06,86.4,1.54,-0.89,0.01798,101530.62,40
"2020-08-09 12:00:00",1,299.80002,406,12,4e-06,84.200005,0.65999997,-0.08,0.01818,101473.49,2
"2020-08-09 18:00:00",1,308.7,422,690,0.00023599999,47.100002,0.16,-0.42,0.017029999,101403.836,12
"2020-08-10 00:00:00",1,302.1,432,527,0.000331,75.9,1.63,-0.28,0.01886,101258.65,56
"2020-08-10 06:00:00",1,298.80002,408,0,3e-06,86.8,0.98999995,1.89,0.017649999,101298.82,9
"2020-08-10 12:00:00",1,298.30002,398,12,8e-06,89.5,-0.47,1.9499999,0.017719999,101308.71,1
"2020-08-10 18:00:00",1,310,415,698,8.4e-05,40.4,-0.17999999,0.59,0.0157,101232.94,3
"2020-08-11 00:00:00",1,304.2,448,443,0,60.4,0.91999996,0.87,0.01702,101030.336,39
"2020-08-11 06:00:00",1,299.5,413,0,9e-06,82.4,0.88,2.58,0.017649999,101080.805,3
"2020-08-11 12:00:00",1,298.7,402,12,2.1e-05,87.3,0.26,2.29,0.01769,101139.03,3
"2020-08-11 18:00:00",1,307,418,681,0.000188,48.600002,-0.78999996,2.25,0.015999999,101079.63,26
"2020-08-12 00:00:00",1,303.9,438,488,8.4e-05,61.5,1.4599999,1.63,0.01704,100941.78,60
"2020-08-12 06:00:00",1,299.80002,413,0,2e-06,81.700005,0.78,2.73,0.0177,101057.555,0
"2020-08-12 12:00:00",1,298.9,404,12,1e-05,84.4,0.48999998,2.1,0.01742,101129.164,1
"2020-08-12 18:00:00",1,310.80002,426,680,5e-05,40.5,0.31,0.53,0.01646,101149.04,17
"2020-08-13 00:00:00",1,304.2,452,444,7.4e-05,61.600002,1.93,0.29999998,0.0173,101106.64,68
"2020-08-13 06:00:00",1,300.06,418,0,2.4e-05,80.4,0.82,1.74,0.01769,101268.21,50
"2020-08-13 12:00:00",1,299.4,406,11,9e-06,83.9,-0.32999998,1.55,0.01776,101410.33,6
"2020-08-13 18:00:00",1,309.7,427,682,3.4e-05,40.5,-0.14,-1.53,0.0154,101379.445,40
"2020-08-14 00:00:00",1,304.2,440,506,6.5e-05,59.3,1.76,-1.89,0.016689999,101316.77,46
"2020-08-14 06:00:00",1,299.80002,413,0,1.7e-05,79.3,2.35,-0.85999995,0.01715,101457.984,20
