"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","pressfc","tcdcclm"
"2020-11-02 18:00:00",1,293.09137,9.999e+20,9.999e+20,46291666666666664,39.87268,-4.4701977,-2.9407446,101933.43,9.999e+20
"2020-11-03 00:00:00",1,286.46017,293,322,0,57.784115,-1.9685669,-1.2410815,102017.39,0
"2020-11-03 06:00:00",1,284.22067,280,0,0,54.20948,-2.881167,0.354624,102144.836,0
"2020-11-03 12:00:00",1,283.0462,277.40515,0,0,58.05604,-2.7203124,-0.4690161,102120.42,0
"2020-11-03 18:00:00",1,295.91806,300.59485,520,0,39.71229,-2.386582,-1.7996997,102031.195,0
"2020-11-04 00:00:00",1,289.62698,320,312,0,62.972942,-1.6085376,-2.0437756,102046.23,0
"2020-11-04 06:00:00",1,287.13522,303.76126,0,0,69.9713,-2.0928345,-0.8685864,102163.74,0
"2020-11-04 12:00:00",1,286.9451,314.32538,0,0,71.598755,-2.3903174,-0.8437146,102201.64,27
"2020-11-04 18:00:00",1,296.8397,356.19067,350,4.62962962962963e-06,52.563454,-0.50842774,-3.684978,102111.02,54
"2020-11-05 00:00:00",1,291.53198,369,180,1.38888888888889e-05,81.30747,-1.6272681,-2.1145215,102137.04,49
"2020-11-05 06:00:00",1,290.02008,338.32538,0,9.25925925925926e-06,91.99352,-1.8163916,-1.2410204,102077.086,11
"2020-11-05 12:00:00",1,290.71017,363.32538,0,1.85185185185185e-05,94.45447,-2.4190843,-1.576206,101934.97,47
"2020-11-05 18:00:00",1,297.89395,368,430,3.7037037037037e-05,65.42576,-2.6226,-3.6801903,101738.77,23
"2020-11-06 00:00:00",1,293.899,376.80933,237,2.31481481481481e-05,84.490326,-2.6187377,-2.7765965,101685.71,80
"2020-11-06 06:00:00",1,292.31067,360,0,1.85185185185185e-05,96.3326,-1.7904223,-1.4997314,101562.27,67
"2020-11-06 12:00:00",1,291.99072,360,0,1.01851851851852e-05,95.64623,-2.0155957,-1.666936,101494.52,34
"2020-11-06 18:00:00",1,300.6864,371,440,0,49.03951,-2.6788256,-3.9877343,101348.695,67
"2020-11-07 00:00:00",1,294.7017,371,264,0,73.11286,-1.9663061,-2.4122217,101354.03,89
"2020-11-07 06:00:00",1,293.0081,361,0,0,87.12686,-2.1556933,-1.4023876,101310.164,100
"2020-11-07 12:00:00",1,292.70703,359,0,0,92.05834,-2.2168334,-1.385315,101333.76,99
"2020-11-07 18:00:00",1,301.28775,384.19067,440,2.77777777777778e-05,52.63031,-1.1826098,-5.2432494,101251.63,64
"2020-11-08 00:00:00",1,295.81696,377,289,0,76.67787,-1.3057861,-4.818081,101322.85,10
"2020-11-08 06:00:00",1,294.64896,371,0,4.62962962962963e-06,86.877525,-1.321018,-2.7237036,101365.555,84
"2020-11-08 12:00:00",1,293.9101,367,0,4.62962962962963e-06,90.21668,-1.5565307,-2.6323133,101416.79,15
"2020-11-08 18:00:00",1,301.559,383,460,9.25925925925926e-06,53.362373,-1.1391944,-5.902383,101465.61,15
"2020-11-09 00:00:00",1,296.19254,385,276,9.25925925925926e-06,76.20306,-1.8662963,-3.6554637,101599.086,17
"2020-11-09 06:00:00",1,295.21188,375,0,4.62962935185185e-06,84.90975,-1.84031,-3.0663915,101594.04,15
"2020-11-09 12:00:00",1,294.44104,365.99908,0,3.7037037037037e-06,85.64231,-2.0534058,-2.648191,101642.31,0
"2020-11-09 18:00:00",1,300.57095,381.40515,410,2.77777777777778e-05,55.199047,-2.1066723,-6.262644,101631.28,23
"2020-11-10 00:00:00",1,295.36685,370,285,0,71.76287,-1.6528882,-2.816317,101654.7,7
"2020-11-10 06:00:00",1,293.69308,355,0,4.62962962962963e-06,82.2456,-2.020183,-2.5235987,101539.125,0
"2020-11-10 12:00:00",1,293.41504,357,0,1.85185185185185e-06,83.287575,-2.0906982,-2.225708,101404.95,6
"2020-11-10 18:00:00",1,300.67435,381.80933,410,4.62962962962963e-06,49.54987,-1.2746044,-6.0033712,101212.62,28
"2020-11-11 00:00:00",1,295.97565,386,231,9.25925925925926e-06,72.55731,-1.4627539,-3.5348558,101147.91,30
"2020-11-11 06:00:00",1,295.11093,366,0,0,81.29047,-0.9077929,-3.173845,101016.28,0
"2020-11-11 12:00:00",1,295.52188,371.40515,0,0,83.59478,-1.2058374,-3.6725683,100927.64,2
"2020-11-11 18:00:00",1,297.81772,416,190,0.000111111111111111,83.49896,-0.7476782,-4.30147,100869.555,71
"2020-11-12 00:00:00",1,295.9792,423,18,0.00037962962962963,91.697845,-1.7277246,-3.9959984,100813.35,100
"2020-11-12 06:00:00",1,295.94034,403,0,4.62962962962963e-05,89.49496,-1.6567187,-4.0150976,100726.65,100
"2020-11-12 12:00:00",1,295.9461,422,0,0.000287037050925926,94.065895,-2.0584838,-4.597358,100603.43,100
"2020-11-12 18:00:00",1,296.04562,427.17206,10,0.00125462962962963,94.092636,0.03366699,-4.031953,100459.2,100
"2020-11-13 00:00:00",1,295.72403,424,15,0.00082407412037037,94.5859,-1.744602,-4.758186,100373.93,100
"2020-11-13 06:00:00",1,295.6224,425,0,0.000467592592592593,96.14097,-0.607583,-4.0806932,100210.91,100
"2020-11-13 12:00:00",1,295.40146,424,0,0.00157407407407407,96.12734,-1.0927807,-6.1977344,99748.766,100
"2020-11-13 18:00:00",1,296.2214,428,10,0.00234259268518519,96.63931,-3.1596532,-9.944531,98366.9,100
"2020-11-14 00:00:00",1,296.27615,433.9996,2,0.00208333333333333,95.08711,1.7196215,4.485166,98111.29,100
"2020-11-14 06:00:00",1,294.3485,415.05585,0,0.000106481481481481,79.61309,-2.3853393,9.772639,99024.086,99
"2020-11-14 12:00:00",1,293.62643,408.2704,0,9.25925925925926e-06,73.01686,-2.2990942,6.7142506,99842.08,99
"2020-11-14 18:00:00",1,296.74374,384.40515,320,0,60.12391,-2.9831567,4.7544236,100187.4,68
"2020-11-15 00:00:00",1,292.8616,352.40515,275,0,80.02764,-1.1649292,1.5482519,100441.22,14
"2020-11-15 06:00:00",1,289.03937,323.59485,0,0,73.32223,-0.7302173,2.501112,100646.414,0
"2020-11-15 12:00:00",1,284.94543,287.40515,0,0,71.72664,-1.5074145,1.9835815,100908.945,0
"2020-11-15 18:00:00",1,294.39905,287,480,0,32.15637,-2.2207227,0.597561,100987.87,0
"2020-11-16 00:00:00",1,288.16275,298,295,0,63.442944,-1.72406,-1.1721655,101165.99,0
"2020-11-16 06:00:00",1,286.0222,292,0,0,80.20909,-2.0648656,-0.6336719,101300.09,0
"2020-11-16 12:00:00",1,284.83688,292,0,0,84.14022,-2.3804834,-0.039611816,101452.29,0
"2020-11-16 18:00:00",1,296.69885,317.99908,460,0,48.152462,-1.6066186,-1.7027502,101374.15,23
"2020-11-17 00:00:00",1,291.08725,346,250,0,70.18878,-3.2176147,-1.6387427,101505.734,23
"2020-11-17 06:00:00",1,288.29245,317,0,0,90.25158,-3.4811156,-0.27052,101597.64,8
"2020-11-17 12:00:00",1,287.22095,324,0,0,83.55535,-3.5251074,-0.089289546,101667.4,31
"2020-11-17 18:00:00",1,295.47604,332,450,0,40.398407,-4.28562,-2.0262988,101656.055,27
"2020-11-18 00:00:00",1,289.83536,335,270,0,59.882946,-3.079082,-2.3958983,101813.15,27
"2020-11-18 06:00:00",1,288.93716,320.53992,0,0,78.59588,-2.3551195,-2.239817,101854.875,4
"2020-11-18 12:00:00",1,289.0248,325,0,0,87.444695,-2.0789964,-1.9279199,101938.29,1
