"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2019-08-11 06:00:00",1,284.9,9.999e+20,9.999e+20,9.999e+20,84.1,-0.51,1.78,0.0074,97714.97,9.999e+20
"2019-08-11 12:00:00",1,286.7,290,52,0,78.1,-0.84999996,2.3999999,0.0077199996,97971.29,1
"2019-08-11 18:00:00",1,297,321,742,0,41.8,-1.9499999,3.98,0.0079,97897.98,0
"2019-08-12 00:00:00",1,291.1,341,447,0,73.3,0.12,2.25,0.00967,97853.4,35
"2019-08-12 06:00:00",1,287.4,323,0,0,83.3,0.26999998,2.1499999,0.00864,97972.12,0
"2019-08-12 12:00:00",1,289.80002,323,50,0,77.6,0.11,2.48,0.0094099995,97980.94,0
"2019-08-12 18:00:00",1,300,347,728,0,41.2,0.96,3.6,0.00936,97725.95,21
"2019-08-13 00:00:00",1,293.30002,365,443,8e-06,79.6,1.25,1.8499999,0.01208,97595.77,36
"2019-08-13 06:00:00",1,292.4,369,0,2.4e-05,85.9,1.78,2.48,0.012329999,97453.49,81
"2019-08-13 12:00:00",1,293.30002,371,38,3e-06,89,0.19999999,2.48,0.013499999,97464.08,66
"2019-08-13 18:00:00",1,296.7,398,367,3.8e-05,78.700005,-0.17,1.73,0.014599999,97454.17,82
"2019-08-14 00:00:00",1,292.7,382,255,2.9e-05,95.1,0.39,1.35,0.013929999,97434.27,80
"2019-08-14 06:00:00",1,287.9,343,0,1e-06,83.700005,-2.18,0.35999998,0.009029999,97576.15,7
"2019-08-14 12:00:00",1,288.7,323,48,0,74.4,-2.3799999,-0.28,0.00837,97827.02,2
"2019-08-14 18:00:00",1,299.4,336,731,0,43.2,-1.13,-0.45,0.00948,97828.52,1
"2019-08-15 00:00:00",1,289.80002,367,361,0,77.4,-0.98999995,-0.17,0.00938,97972.77,38
"2019-08-15 06:00:00",1,285.1,312,0,0,73.1,-1.93,0.78999996,0.00652,98264.86,3
"2019-08-15 12:00:00",1,286.2,291,50,0,72.6,-1.79,0.31,0.0069,98542.24,1
"2019-08-15 18:00:00",1,298.6,309,746,0,37.100002,-0.55,-0.29,0.0077,98500.18,1
"2019-08-16 00:00:00",1,286.7,324,454,0,77.8,0.87,-0.96999997,0.0076099997,98545.46,1
"2019-08-16 06:00:00",1,282.1,301,0,0,91.8,-0.90999997,0.55,0.0066299997,98686.39,1
"2019-08-16 12:00:00",1,287.5,296,48,0,74.6,-1.4399999,-0.41,0.00769,98852.19,0
