"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","pressfc","tcdcclm"
"2020-11-10 12:00:00",1,281.22217,9.999e+20,9.999e+20,46291666666666664,78.88366,0.72226804,0.58617187,98011.805,9.999e+20
"2020-11-10 18:00:00",1,292.75116,294,360,0,58.620422,1.4175292,1.6602539,97734.35,0
"2020-11-11 00:00:00",1,286.15085,319.46008,114,0,93.457756,1.065122,1.1995312,97787.09,82
"2020-11-11 06:00:00",1,284.23605,302,0,0,98.1336,1.5652417,0.75111085,97707.23,6
"2020-11-11 12:00:00",1,285.8579,317,0,0,98.70466,1.8208227,0.24864258,97606.87,46
"2020-11-11 18:00:00",1,293.0332,376,190,0,73.26111,4.2312303,2.9763892,97273.46,93
"2020-11-12 00:00:00",1,289.80905,386,43,1.38888888888889e-05,89.84634,2.4982054,1.0017334,97239.055,100
"2020-11-12 06:00:00",1,290.10855,379,0,0.000106481481481481,95.17085,2.8650658,2.6587255,97061.37,100
"2020-11-12 12:00:00",1,287.67172,384,0,6.94444444444444e-05,93.84709,-2.5230443,1.7189844,97120.93,100
"2020-11-12 18:00:00",1,280.7913,353,20,6.94444444444444e-05,81.92055,-3.0946069,2.0332274,97319.49,100
"2020-11-13 00:00:00",1,276.68256,303.83777,30,0,84.14566,-1.9220263,1.6842968,97713.62,84
"2020-11-13 06:00:00",1,273.29587,226,0,0,95.99842,-1.4342188,0.6614917,97814.164,0
"2020-11-13 12:00:00",1,272.72208,223,0,0,92.177055,1.0301977,-1.4752246,97868.24,1
"2020-11-13 18:00:00",1,276.5586,283,140,3.24074074074074e-05,91.89131,0.770957,-1.5513695,97485.75,79
"2020-11-14 00:00:00",1,276.6399,322,10,2.77777777777778e-05,97.947014,0.3104126,0.5236328,97439.42,91
"2020-11-14 06:00:00",1,274.77243,249,0,0,94.801575,-0.47374755,2.4329126,97450.02,23
"2020-11-14 12:00:00",1,272.6073,234.01172,0,0,96.37697,-1.0969238,1.9981762,97716.68,5
"2020-11-14 18:00:00",1,279.49207,232,350,0,58.99055,-1.9896826,2.4438012,97724.27,1
"2020-11-15 00:00:00",1,273.26227,237.65605,123,0,83.84891,-0.25209716,0.15279785,97753.77,18
"2020-11-15 06:00:00",1,274.67392,293,0,4.62962962962963e-06,81.24775,0.9726269,-0.88587403,97522.45,100
