"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-05-03 18:00:00",1,264.5,9.999e+20,9.999e+20,9.999e+20,73.4,0.22999999,-0.71,0.0014599999,97137.375,9.999e+20
"2020-05-04 00:00:00",1,268.96,190,629,0,90.1,-2.19,-1.42,0.00257,97117.71,3
"2020-05-04 06:00:00",1,259.6,197,348,0,98.700005,-0.61,-1.8199999,0.00125,97009.5,0
"2020-05-04 12:00:00",1,256.2,194,4,0,93.4,0.72999996,-0.89,0.00087,96880.69,0
"2020-05-04 18:00:00",1,268.6,194,181,0,83.4,-0.64,-0.44,0.00233,96745.336,0
"2020-05-05 00:00:00",1,270.9,201,630,0,89.5,-2.1699998,-0.52,0.003,96693.14,0
"2020-05-05 06:00:00",1,257.1,201,353,0,99.9,-0.83,-0.42,0.0009999999,96673.44,0
"2020-05-05 12:00:00",1,258.1,192,5,0,93,1.4699999,1.1899999,0.00114,96736.914,1
"2020-05-05 18:00:00",1,267.6,194,185,0,89.4,-0.26,1.4499999,0.00229,96828.766,1
"2020-05-06 00:00:00",1,269.4,205,626,0,91,-1.1999999,0.9,0.00269,96986.266,12
"2020-05-06 06:00:00",1,258.80002,222,331,1e-06,99.5,-0.84999996,-0.14999999,0.0012299999,97160.65,45
"2020-05-06 12:00:00",1,255.6,217,6,3e-06,99.6,-0.77,-0.48,0.00097,97308.15,49
"2020-05-06 18:00:00",1,265.7,196,186,0,89.3,-1.1999999,-1.65,0.0019299999,97397.516,27
"2020-05-07 00:00:00",1,269.4,195,639,0,92.5,-2.2,-2.07,0.00271,97457.27,5
"2020-05-07 06:00:00",1,260.80002,204,357,0,99.6,-0.45999998,-1.62,0.00143,97545.02,11
"2020-05-07 12:00:00",1,262,199,7,0,89.5,2.8899999,0.42,0.0014899999,97624.305,1
"2020-05-07 18:00:00",1,271.5,205,192,0,84.5,2.22,1.17,0.00291,97779.96,1
"2020-05-08 00:00:00",1,274,218,636,0,99.9,0.35,0.19,0.00413,97935.37,1
"2020-05-08 06:00:00",1,267.30002,220,362,0,84.5,1.8499999,1.0699999,0.0020899998,98084.43,1
"2020-05-08 12:00:00",1,269.4,214,7,0,81.700005,3.9199998,1.04,0.00238,98277.26,0
"2020-05-08 18:00:00",1,273.1,216,194,0,83,2.62,1.06,0.00321,98405.24,0
"2020-05-09 00:00:00",1,274.5,227,633,0,99.9,0.25,0.21,0.00423,98502.18,0
"2020-05-09 06:00:00",1,265,229,361,0,80.9,0.90999997,-0.61,0.0016399999,98542.23,0
"2020-05-09 12:00:00",1,265.2,218,8,0,70.200005,1.8499999,-0.89,0.00145,98567.945,0
"2020-05-09 18:00:00",1,274.30002,217,197,0,75.1,1.62,-1.39,0.00315,98568.086,15
"2020-05-10 00:00:00",1,275.30002,225,640,0,99.9,0.48,-2.4099998,0.0045,98400.69,22
"2020-05-10 06:00:00",1,272.9,242,342,0,81,2.1399999,-1.0699999,0.00312,98250.99,58
"2020-05-10 12:00:00",1,275.6,262,8,0,78.9,3.8999999,1.0699999,0.00364,98229.95,76
"2020-05-10 18:00:00",1,275.80002,254,187,0,98.700005,3.1399999,1.28,0.00464,98283.02,53
"2020-05-11 00:00:00",1,276.1,254,618,0,99.9,1.6999999,0.82,0.00476,98328.62,49
"2020-05-11 06:00:00",1,270.1,255,358,0,89.1,0.42,0.12,0.00274,98333.664,22
"2020-05-11 12:00:00",1,267.80002,246,9,0,90,0.56,0.94,0.0023,98353.23,25
"2020-05-11 18:00:00",1,275.5,245,197,0,96.1,0.65,0.81,0.0044,98339.73,27
"2020-05-12 00:00:00",1,275.4,250,628,0,100,0.03,0.31,0.0045499997,98591.94,20
"2020-05-12 06:00:00",1,269.30002,248,364,0,83,0.21,0.39999998,0.0023999999,98441.086,16
"2020-05-12 12:00:00",1,266.5,239,11,0,85.6,0.59,0.88,0.0019699999,98311.79,1
"2020-05-12 18:00:00",1,274.30002,237,204,0,97.8,0.19999999,0.65,0.00413,98148.44,0
"2020-05-13 00:00:00",1,274.34,236,640,0,99.9,-0.32999998,0.55,0.00423,97995.12,1
"2020-05-13 06:00:00",1,267.4,234,371,0,93.6,-0.26999998,0.35,0.00233,97815.945,2
"2020-05-13 12:00:00",1,263.2,224,11,0,98.8,-0.71,-0.17,0.00174,97737.555,3
"2020-05-13 18:00:00",1,271.80002,220,207,0,91.3,-0.83,-0.9,0.0032,97717.086,5
"2020-05-14 00:00:00",1,273.15,222,646,0,97,-1.14,-1.54,0.00376,97704.48,5
"2020-05-14 06:00:00",1,268,242,356,0,92.200005,-0.39999998,-1.5899999,0.0024299999,97615.94,34
"2020-05-14 12:00:00",1,264.6,215,13,0,88.3,-0.59999996,-1.4,0.0017299999,97594.05,7
"2020-05-14 18:00:00",1,271.6,215,214,0,85.6,-1.38,-1.29,0.00297,97684.16,4
"2020-05-15 00:00:00",1,273.1,222,648,0,94.4,-2.09,-1.4499999,0.00364,97869.96,4
"2020-05-15 06:00:00",1,268.30002,226,376,0,95.3,-1.4399999,-1.3,0.00256,97966.625,11
"2020-05-15 12:00:00",1,264,216,14,0,97.3,-0.85999995,-1.2099999,0.0018099999,98064.375,3
"2020-05-15 18:00:00",1,270.5,215,215,0,91,-1.62,-1,0.00289,98136.85,5
"2020-05-16 00:00:00",1,272.4,225,643,0,88.8,-2.46,-1.3399999,0.00323,98217.81,25
"2020-05-16 06:00:00",1,267.7,224,375,0,94,-1.7199999,-1.25,0.00239,98143.375,21
"2020-05-16 12:00:00",1,262.30002,205,15,0,97.700005,-1.04,-0.24,0.00159,98023.56,4
"2020-05-16 18:00:00",1,269.4,205,223,0,86.700005,-0.59999996,1.3399999,0.00253,97796.555,2
"2020-05-17 00:00:00",1,272.6,218,654,0,81.6,0.14999999,2.25,0.00303,97510.62,4
"2020-05-17 06:00:00",1,269.7,225,383,0,87.200005,0.74,2.4199998,0.00263,97089.516,3
"2020-05-17 12:00:00",1,267.6,218,16,0,90.1,0.9,2.84,0.0023,96731.44,8
"2020-05-17 18:00:00",1,270.1,267,136,5.5e-05,92.8,-1.3,3.61,0.00291,96446.24,80
"2020-05-18 00:00:00",1,270.30002,271,509,4.7e-05,91.3,-4.72,0.28,0.00293,96461.25,79
"2020-05-18 06:00:00",1,268.5,262,295,4e-05,95.6,-3.1299999,0.57,0.00265,96480.516,77
"2020-05-18 12:00:00",1,266.2,260,12,2.7e-05,97.700005,-2.37,0.099999994,0.0022399998,96496.18,72
"2020-05-18 18:00:00",1,267.9,239,191,1.3e-05,93,-3.27,-0.97999996,0.0024299999,96537.2,60
"2020-05-19 00:00:00",1,268.5,265,555,2.9e-05,90.200005,-4.25,-2.19,0.00248,96670,84
"2020-05-19 06:00:00",1,266.80002,260,316,1.9e-05,94.1,-3.58,-2.1599998,0.00227,96767.96,82
"2020-05-19 12:00:00",1,263.7,254,13,1.2e-05,97.3,-1.88,-1.1899999,0.00179,96861.11,82
"2020-05-19 18:00:00",1,267.30002,217,217,2e-06,92.200005,-2.28,-1.5699999,0.0023,96855.54,32
"2020-05-03 18:00:00",2,264.5,9.999e+20,9.999e+20,9.999e+20,73.8,0.68,-0.38,0.00148,97178,9.999e+20
"2020-05-04 00:00:00",2,268.85,190,628,0,90.700005,-2.24,-1.48,0.00257,97133.86,0
"2020-05-04 06:00:00",2,259.7,197,348,0,99.4,-0.41,-1.8199999,0.00127,97011.43,1
"2020-05-04 12:00:00",2,257.1,195,4,0,91.9,1.04,-0.85999995,0.00094,96855.94,0
"2020-05-04 18:00:00",2,269,195,182,0,82.5,-0.29,-0.31,0.00237,96702.45,0
"2020-05-05 00:00:00",2,271.30002,201,632,0,90.3,-2.12,-0.31,0.00312,96651.99,0
"2020-05-05 06:00:00",2,256.5,200,353,0,100,-0.83,-0.34,0.00094999996,96655.055,1
"2020-05-05 12:00:00",2,256,191,5,0,97.700005,0.90999997,1.22,0.00094,96739.18,7
"2020-05-05 18:00:00",2,266.9,194,183,0,91.1,-0.59999996,1.41,0.00222,96852.54,9
"2020-05-06 00:00:00",2,268.80002,205,624,0,92.1,-1.43,0.76,0.0026,97000.29,21
"2020-05-06 06:00:00",2,263.6,238,317,3e-06,98.4,-0.79999995,-0.14,0.0018,97162.734,67
"2020-05-06 12:00:00",2,255.90001,220,5,3e-06,99.700005,-0.88,-0.81,0.0009999999,97274.15,54
"2020-05-06 18:00:00",2,265.7,189,190,0,89.1,-1.0699999,-1.63,0.0019299999,97366.24,16
"2020-05-07 00:00:00",2,269.7,193,642,0,92.3,-1.99,-1.93,0.0027899998,97448.016,2
"2020-05-07 06:00:00",2,261.2,206,358,0,99.8,0.12,-1.35,0.0014599999,97558.93,4
"2020-05-07 12:00:00",2,267.4,211,6,0,87.6,3.4299998,0.84999996,0.0022099998,97691.28,1
"2020-05-07 18:00:00",2,273.5,222,186,0,89.1,2.81,1.36,0.00357,97874.69,1
"2020-05-08 00:00:00",2,274.80002,231,623,0,99.9,1.86,1.09,0.00435,98104.52,1
"2020-05-08 06:00:00",2,274.2,234,353,0,85.1,3.6799998,0.84999996,0.00355,98274.23,2
"2020-05-08 12:00:00",2,272.5,235,7,0,85.200005,4.38,0.64,0.00314,98447.14,1
"2020-05-08 18:00:00",2,275.2,238,187,0,95,3.9499998,0.41,0.0042399997,98511.266,0
"2020-05-09 00:00:00",2,275.30002,256,600,1e-06,99.9,4.2599998,1.09,0.0045,98600.68,31
"2020-05-09 06:00:00",2,274.5,313,214,4e-06,95.1,3.8999999,0.75,0.00403,98673.54,95
"2020-05-09 12:00:00",2,273.6,246,7,0,78.5,4.23,0.12,0.00312,98668.55,9
"2020-05-09 18:00:00",2,275.7,241,190,0,92.9,3.29,-0.01,0.0043099998,98622.01,32
"2020-05-10 00:00:00",2,276,258,604,1e-06,99.9,4.7,0.55,0.00474,98539.9,28
"2020-05-10 06:00:00",2,275.4,310,214,3e-06,91.6,4.54,1.29,0.00414,98606.414,94
"2020-05-10 12:00:00",2,275.5,264,8,0,80.700005,3.8799999,1.28,0.00367,98860.95,61
"2020-05-10 18:00:00",2,276.6,263,184,0,98.200005,3.8,0.66999996,0.00483,98878.25,65
"2020-05-11 00:00:00",2,276.9,263,612,0,99.9,2.02,-0.04,0.00501,98915.4,39
